model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_b4,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.18537627,0,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.56374586,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.46874866,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.809639,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.75604844,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00009111.JPEG,n01440764,0,114,0.18652755,0,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.7119382,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.7279168,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.74893576,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.68897444,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.18023506,0,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.71019614,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.76758873,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.75569075,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.76160526,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.6259524,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.6725903,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.72410244,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.74478954,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.5883634,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.37410003,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.6475198,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.7463043,1,imagenet_c,pixelate,4,none
efficientnet_b4,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.7266241,1,imagenet_c,pixelate,4,none
