model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_b4,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.9545266,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.92456055,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.3353848,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.9797568,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.9885366,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.97785544,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.97550255,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.97933507,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.97579885,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9842136,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.48153177,0,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.9908957,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.9879637,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.9838399,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.98613954,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.9913244,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9790925,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.989183,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.9853279,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.98337847,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.6547674,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.9865849,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.986636,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9769719,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.9844348,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.9568034,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.9871242,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.96617,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.9858915,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.71433824,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.97457916,1,imagenet_c,elastic_transform,1,none
efficientnet_b4,ILSVRC2012_val_00030740.JPEG,n01440764,0,389,0.40106875,0,imagenet_c,elastic_transform,1,none
