model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_b4,ILSVRC2012_val_00000293.JPEG,n01440764,0,331,0.83766186,0,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.9434311,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.13094865,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.9889882,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.58418256,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.8366608,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.988494,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.9857287,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.9826066,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.98142964,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00010306.JPEG,n01440764,0,144,0.64717436,0,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.9934214,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.98848045,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.9929733,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.98366565,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.9892915,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9862738,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.988352,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.99199367,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.9885388,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.8214981,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.9582438,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.98825073,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.97105366,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.98946035,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.9245218,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.9832745,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00026064.JPEG,n01440764,0,964,0.34560832,0,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.9832493,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00028158.JPEG,n01440764,0,395,0.28159758,0,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.9777984,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.88341725,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00031094.JPEG,n01440764,0,413,0.2775281,0,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.98503506,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.98716706,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00037375.JPEG,n01440764,0,758,0.5520406,0,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00037383.JPEG,n01440764,0,712,0.26948276,0,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.9770662,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00037834.JPEG,n01440764,0,5,0.62091666,0,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.97525567,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.9858494,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.9750973,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.9871366,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.9681571,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.9806253,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.9821191,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.92304724,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.97888994,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.9636563,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.98758847,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.25043443,0,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00000262.JPEG,n01443537,1,973,0.87612903,0,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.9893495,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.98476243,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00002241.JPEG,n01443537,1,26,0.513409,0,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.76163036,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00003150.JPEG,n01443537,1,96,0.89981085,0,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.42756987,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.24392225,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.8327847,1,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00005870.JPEG,n01443537,1,643,0.36304188,0,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.9499635,0,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00006216.JPEG,n01443537,1,766,0.90558755,0,imagenet_c,jpeg_compression,5,none
efficientnet_b4,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.99184304,1,imagenet_c,jpeg_compression,5,none
