model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_b4,ILSVRC2012_val_00000293.JPEG,n01440764,0,103,0.20349391,0,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00002138.JPEG,n01440764,0,764,0.18708953,0,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.14684637,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.6835408,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.5379117,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.11290284,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.63762885,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.65526426,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.6900976,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.7287742,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00010306.JPEG,n01440764,0,144,0.2920164,0,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.6975168,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.6360662,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.6958236,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.6275758,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00016018.JPEG,n01440764,0,103,0.39583415,0,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.313494,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.61226857,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.718896,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.65019363,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.5110085,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.6215498,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00023559.JPEG,n01440764,0,103,0.56638336,0,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.50598514,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.7849143,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.75777394,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.67774373,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00026064.JPEG,n01440764,0,29,0.12249607,0,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.68396086,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00028158.JPEG,n01440764,0,6,0.09490384,0,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.56391466,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.26639703,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00031094.JPEG,n01440764,0,413,0.0996206,0,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.38528275,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.75834,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00037375.JPEG,n01440764,0,391,0.13844824,0,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00037383.JPEG,n01440764,0,513,0.058057625,0,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.67456096,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.10747388,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.40311098,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.6950639,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.65987736,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.64574814,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.5853364,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.5696334,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.65533537,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00046252.JPEG,n01440764,0,390,0.29555327,0,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.46243277,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.58000416,1,imagenet_c,gaussian_noise,4,none
efficientnet_b4,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.70805806,1,imagenet_c,gaussian_noise,4,none
