model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_b4,ILSVRC2012_val_00000293.JPEG,n01440764,0,885,0.082584225,0,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00002138.JPEG,n01440764,0,391,0.07824928,0,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.15720521,1,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.82658863,1,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.21640055,1,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00009111.JPEG,n01440764,0,75,0.037054587,0,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.56104004,1,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.6665978,1,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7138398,1,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.7008325,1,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00010306.JPEG,n01440764,0,362,0.061237294,0,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.6284521,1,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.6181792,1,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.69172204,1,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.6753717,1,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.4294445,1,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.60702455,1,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.70582503,1,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.7405333,1,imagenet_c,impulse_noise,4,none
efficientnet_b4,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.5575331,1,imagenet_c,impulse_noise,4,none
