model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_b4,ILSVRC2012_val_00000293.JPEG,n01440764,0,391,0.33183095,0,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.444926,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.5746766,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.6351412,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8267868,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.6268369,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.6620836,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.720161,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7395401,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.7438449,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.46218735,0,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.7284497,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.7660278,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.7250688,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.6859828,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.77478087,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.73622835,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.70583093,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.7464953,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.57406235,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.71283454,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.65885293,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.7311756,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.7027419,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.7243361,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.6751741,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.7304803,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.566809,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.6754027,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00028158.JPEG,n01440764,0,103,0.48178235,0,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.69939286,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.74067557,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.49631202,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.6858535,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.76654685,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.3964978,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.51978886,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.6969537,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.7391275,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.6163187,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.65415436,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.6543734,1,imagenet_c,shot_noise,1,none
efficientnet_b4,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.73610824,1,imagenet_c,shot_noise,1,none
