model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_b4,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.9716684,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.980699,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00003014.JPEG,n01440764,0,573,0.1596661,0,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.90513116,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00007197.JPEG,n01440764,0,570,0.09778271,0,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00009111.JPEG,n01440764,0,113,0.8305625,0,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.98452246,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.9792342,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.98649895,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9776469,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00010306.JPEG,n01440764,0,173,0.14745061,0,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.99019754,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.9890915,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.9911883,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9873372,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.9055958,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9774244,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.9167537,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.98667336,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.9761258,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00018317.JPEG,n01440764,0,805,0.38279274,0,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.9668965,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.9768981,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9803577,1,imagenet_c,pixelate,5,none
efficientnet_b4,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.98770195,1,imagenet_c,pixelate,5,none
