model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_v2_m,ILSVRC2012_val_00000293.JPEG,n01440764,0,26,0.09347548,0,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.43029156,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00003014.JPEG,n01440764,0,233,0.20977798,0,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.70245045,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.6564411,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.68366855,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.6680875,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.73116755,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.6891722,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.7194346,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.63017863,0,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.6941541,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.73652506,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.67217857,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.66398424,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.7709231,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.69080865,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.6812023,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.70941234,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.64639497,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.22988126,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.33306912,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.69274193,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.71766025,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.7173648,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.7103493,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.6919398,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.6636165,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.6585676,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.66322434,1,imagenet_c,glass_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.51775146,1,imagenet_c,glass_blur,2,none
