model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_v2_m,ILSVRC2012_val_00000293.JPEG,n01440764,0,103,0.3893495,0,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.7501526,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00003014.JPEG,n01440764,0,671,0.08033943,0,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.69404835,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.67298025,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.7083554,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.65726763,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.73250467,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7103567,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.7099483,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.58175564,0,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.7236556,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.73827815,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.7313417,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.7265548,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.71676385,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.6921121,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.6888126,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.6872099,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.71122825,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.65130246,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.74237794,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.70457006,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.7548706,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.66980577,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.7191211,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.73032385,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.68063885,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.7235969,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.7460016,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.6228576,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.69182676,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.378074,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.67291194,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.723214,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.66707605,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.67055905,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.7433805,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.72534037,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.699853,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.71300167,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.68670464,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.6905295,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.6650759,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.7660581,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.7275183,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.72026914,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.7383297,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.69624496,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.7002755,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00000236.JPEG,n01443537,1,1,0.1237146,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.5519731,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.69492155,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.73432505,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.6010406,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.7119921,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.7271324,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.7360885,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.69511706,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.7810401,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.6585361,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00006007.JPEG,n01443537,1,1,0.15665664,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.7365529,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.71544737,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.58143497,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.73022324,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.694617,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00012880.JPEG,n01443537,1,1,0.09944789,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.7445625,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.7212236,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.6428596,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.7581022,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.5520557,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00020436.JPEG,n01443537,1,327,0.12304489,0,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.71586806,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.67566884,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.7785722,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.7147659,1,imagenet_c,motion_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.7129667,1,imagenet_c,motion_blur,2,none
