model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_v2_m,ILSVRC2012_val_00000293.JPEG,n01440764,0,33,0.11688591,0,imagenet_c,zoom_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.48810717,1,imagenet_c,zoom_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00003014.JPEG,n01440764,0,671,0.24692403,0,imagenet_c,zoom_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.7124485,1,imagenet_c,zoom_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.6855498,1,imagenet_c,zoom_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.4000646,1,imagenet_c,zoom_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.68832,1,imagenet_c,zoom_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.6150711,1,imagenet_c,zoom_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7449773,1,imagenet_c,zoom_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.7605836,1,imagenet_c,zoom_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.5539659,0,imagenet_c,zoom_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.71015817,1,imagenet_c,zoom_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.74959135,1,imagenet_c,zoom_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.68503743,1,imagenet_c,zoom_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.7411551,1,imagenet_c,zoom_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.6741665,1,imagenet_c,zoom_blur,2,none
efficientnet_v2_m,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.7193085,1,imagenet_c,zoom_blur,2,none
