model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_v2_m,ILSVRC2012_val_00000293.JPEG,n01440764,0,103,0.25334412,0,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.7238957,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.29721907,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.6960929,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.644769,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.7768398,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.6757213,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.73325896,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7467889,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.74126524,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.605222,0,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.7022435,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.7390425,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.718181,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.6782664,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.7428379,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.7262889,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.70686895,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.7102072,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.7125894,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.6648866,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.67502636,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.72628677,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.7696698,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.68135077,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.7440501,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.75324583,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.72793174,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.7156157,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.6937645,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.6356034,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.705234,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.76475596,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.70150447,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.72150105,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.38136643,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.68869007,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.7396307,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.7292336,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.6999561,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.69511515,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.68247914,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.7236723,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.72599566,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.7217202,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.68004763,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.6956574,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.72721857,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.73140025,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.6828475,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00000236.JPEG,n01443537,1,1,0.4247558,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.5232784,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.6893002,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.7380012,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00002241.JPEG,n01443537,1,124,0.03405629,0,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.719306,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.71201456,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.6063269,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.5231229,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.72474897,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.56878006,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.35667047,0,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.7091493,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.7194825,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.63717604,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.71701556,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.61041903,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00012880.JPEG,n01443537,1,970,0.07207701,0,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.72688484,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.725076,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.6075915,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.742433,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.54497874,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00020436.JPEG,n01443537,1,6,0.13523933,0,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.7158018,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.7225752,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.76197,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.72253454,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.6838496,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00028713.JPEG,n01443537,1,1,0.6719402,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.28403044,1,imagenet_c,gaussian_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.68347067,1,imagenet_c,gaussian_noise,1,none
