model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_v2_m,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.3820537,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.74433535,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.30540875,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.69650185,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.67431796,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.75844055,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.689764,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.74435794,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7490497,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.73262036,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.5306354,0,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.69677097,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.73992515,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.7247965,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.6652729,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.74182695,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.69818366,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.6660496,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.6846209,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.7285886,1,imagenet_c,shot_noise,1,none
efficientnet_v2_m,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.6536887,1,imagenet_c,shot_noise,1,none
