model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
maxvit_t,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.29154736,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.8808743,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.771991,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.89129174,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8279741,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.898182,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.87851614,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.87598926,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.88164324,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8789913,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.7930675,0,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.86205006,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.86369157,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.888874,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.89202297,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.848005,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.888696,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.87573475,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8607922,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.91011816,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.8839206,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.9051197,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.88910717,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.8758109,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8728999,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.8888284,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.8597155,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.8853752,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.8794222,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.83915216,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.86652726,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.8875994,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.8132679,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.8456663,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.86558074,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00037375.JPEG,n01440764,0,758,0.58264023,0,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.8585576,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.8848918,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.8612812,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.87945396,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.88202685,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.8807127,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.8759852,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.90068704,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.8657053,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.8948457,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.85802925,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.8703055,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.892719,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.8318417,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.5992222,0,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.8316875,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.8851132,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.8786679,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00002241.JPEG,n01443537,1,794,0.4438562,0,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.8299461,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.8904863,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.864668,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.8663654,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.76821715,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.73673683,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.3579691,0,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.8688907,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.8929684,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.71676224,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.88186204,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.828389,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00012880.JPEG,n01443537,1,970,0.63581425,0,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.89465886,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.8555612,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.818634,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.875884,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.66809464,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00020436.JPEG,n01443537,1,1,0.15473641,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.890835,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.8534073,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.86379784,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.55375254,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.8736243,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00028713.JPEG,n01443537,1,1,0.7420883,1,imagenet_c,defocus_blur,1,none
maxvit_t,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.6653721,1,imagenet_c,defocus_blur,1,none
