model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
maxvit_t,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.48482394,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.8609157,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00003014.JPEG,n01440764,0,472,0.4342132,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.86710817,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.7466026,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.81876725,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8411112,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8551837,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8784056,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8360386,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.8147844,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.86076415,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.82800955,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.86639154,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8805845,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8172362,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8781335,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8558366,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8578135,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.90072465,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00018317.JPEG,n01440764,0,671,0.33513185,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.8893448,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.8528048,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.87050515,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.87483215,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.8844739,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.86041313,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.64704853,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.86660445,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.86128134,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.72051054,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.8940696,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00031094.JPEG,n01440764,0,233,0.16788039,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.8494423,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.85131466,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00037375.JPEG,n01440764,0,758,0.39539012,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00037383.JPEG,n01440764,0,389,0.43198252,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.86117953,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.8717798,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.8795692,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.8760242,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.8907623,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.8681569,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.8827197,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.84743184,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.8827497,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.8270261,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.86871755,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.8883772,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.8454843,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.6004237,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.8473595,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.8829493,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.88152593,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00002241.JPEG,n01443537,1,124,0.64119285,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.84881604,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.8925649,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.88751256,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.8478353,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.83123887,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.7145603,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.48694968,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.8853147,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.8754245,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.886443,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.9011921,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.8699299,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00012880.JPEG,n01443537,1,970,0.16105694,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.8712853,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.8771206,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00016962.JPEG,n01443537,1,27,0.41299933,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.88083017,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.6399833,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00020436.JPEG,n01443537,1,6,0.653134,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.7851454,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.82474786,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.8754947,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00022138.JPEG,n01443537,1,328,0.5681879,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.87342393,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00028713.JPEG,n01443537,1,122,0.21715938,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.82511187,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.8452165,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.82732964,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00032235.JPEG,n01443537,1,1,0.81220806,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.9068363,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.8768428,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.8744701,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.7757244,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00038057.JPEG,n01443537,1,301,0.5222932,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.87252265,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.7912561,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00046915.JPEG,n01443537,1,1,0.71236986,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00046969.JPEG,n01443537,1,1,0.79601693,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.86111164,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.88874227,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.8267385,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00048864.JPEG,n01443537,1,1,0.84610105,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00049585.JPEG,n01443537,1,1,0.8885346,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.88473654,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00049712.JPEG,n01443537,1,1,0.51666117,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00002338.JPEG,n01484850,2,2,0.6270965,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.8436991,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00004311.JPEG,n01484850,2,2,0.35582507,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00004329.JPEG,n01484850,2,2,0.81255734,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00006491.JPEG,n01484850,2,2,0.69976,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00008848.JPEG,n01484850,2,2,0.60906637,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00014467.JPEG,n01484850,2,2,0.88223946,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00015157.JPEG,n01484850,2,148,0.41659188,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00015220.JPEG,n01484850,2,2,0.7422943,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00016168.JPEG,n01484850,2,359,0.1852504,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00016859.JPEG,n01484850,2,2,0.822774,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00016988.JPEG,n01484850,2,2,0.8194717,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00017105.JPEG,n01484850,2,2,0.91044086,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00017194.JPEG,n01484850,2,2,0.526789,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00019409.JPEG,n01484850,2,2,0.3775841,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00019435.JPEG,n01484850,2,2,0.86705196,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00020011.JPEG,n01484850,2,2,0.87527347,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00023185.JPEG,n01484850,2,4,0.3681226,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00024940.JPEG,n01484850,2,2,0.44772127,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00025900.JPEG,n01484850,2,2,0.77763176,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00027063.JPEG,n01484850,2,2,0.84886795,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00027419.JPEG,n01484850,2,2,0.84902376,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00027514.JPEG,n01484850,2,2,0.72938,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00028028.JPEG,n01484850,2,2,0.8431599,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00029481.JPEG,n01484850,2,2,0.7981991,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00030127.JPEG,n01484850,2,2,0.8596203,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00031466.JPEG,n01484850,2,2,0.85912305,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00031720.JPEG,n01484850,2,149,0.33924633,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00031808.JPEG,n01484850,2,2,0.87253326,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00032288.JPEG,n01484850,2,2,0.8752456,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00032417.JPEG,n01484850,2,3,0.40163115,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00034950.JPEG,n01484850,2,2,0.8443296,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00035223.JPEG,n01484850,2,2,0.8807811,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00035774.JPEG,n01484850,2,2,0.88057977,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00036737.JPEG,n01484850,2,2,0.70013785,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00037050.JPEG,n01484850,2,2,0.5078187,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00037135.JPEG,n01484850,2,2,0.896715,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00037488.JPEG,n01484850,2,2,0.87881297,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00037998.JPEG,n01484850,2,2,0.7277737,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00039304.JPEG,n01484850,2,147,0.4902359,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00039445.JPEG,n01484850,2,2,0.6382442,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00039534.JPEG,n01484850,2,2,0.35983512,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00039865.JPEG,n01484850,2,2,0.86261,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00040098.JPEG,n01484850,2,3,0.7491753,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00040710.JPEG,n01484850,2,2,0.7799013,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00042345.JPEG,n01484850,2,2,0.51921207,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00044052.JPEG,n01484850,2,4,0.74245274,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00044896.JPEG,n01484850,2,2,0.4224587,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00045730.JPEG,n01484850,2,2,0.6988314,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00046171.JPEG,n01484850,2,2,0.6229263,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00002922.JPEG,n01491361,3,3,0.50468665,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00002969.JPEG,n01491361,3,3,0.660117,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00003183.JPEG,n01491361,3,3,0.50503314,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00003204.JPEG,n01491361,3,3,0.4988181,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00007743.JPEG,n01491361,3,3,0.8830296,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00007875.JPEG,n01491361,3,3,0.71307945,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00008024.JPEG,n01491361,3,3,0.8484577,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00008108.JPEG,n01491361,3,5,0.86853725,0,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00010074.JPEG,n01491361,3,3,0.30640516,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00012328.JPEG,n01491361,3,3,0.6155335,1,imagenet_c,zoom_blur,1,none
maxvit_t,ILSVRC2012_val_00013484.JPEG,n01491361,3,3,0.8086995,1,imagenet_c,zoom_blur,1,none
