model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
maxvit_t,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.5868838,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.8560052,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.8473966,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.87805325,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8308982,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.888352,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.86151725,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8618234,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8716178,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8699185,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.85872537,0,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8630037,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8503078,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8866962,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.88015014,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8750238,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.88541514,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.87176216,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8749873,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.8921681,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.88493925,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.888273,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.8753482,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.8704184,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.83985454,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.88159525,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.86360097,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.85679775,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.8720298,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.87044424,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.8565568,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.89665484,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.893575,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.8254053,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.88063174,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00037375.JPEG,n01440764,0,758,0.48161298,0,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.84614456,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.87326646,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.8654003,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.8638099,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.88503593,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.87235665,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.88483095,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.8921434,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.8577135,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.877419,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.87497324,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.8741862,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.889857,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.83011127,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.4656795,0,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.8479707,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.87283695,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.8667078,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.22151977,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.87900037,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.8925163,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.8572663,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.85105634,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.8641621,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.59883225,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.6092059,0,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.88195544,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.8753007,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.84560865,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.8522879,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.82950246,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00012880.JPEG,n01443537,1,403,0.49093774,0,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.8781355,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.8765335,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.8189664,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.87267613,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.6287033,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00020436.JPEG,n01443537,1,4,0.34449342,0,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.8634608,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.8490997,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.85944843,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.78033996,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.8572396,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00028713.JPEG,n01443537,1,1,0.81186175,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.7098529,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.81681967,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.7568257,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00032235.JPEG,n01443537,1,1,0.81542593,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.8826456,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.82065034,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.86637163,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.812886,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00038057.JPEG,n01443537,1,1,0.6103395,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.8858153,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.889884,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00046915.JPEG,n01443537,1,1,0.4993635,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00046969.JPEG,n01443537,1,1,0.843001,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.87738585,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.8505025,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.8688491,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00048864.JPEG,n01443537,1,1,0.8282254,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00049585.JPEG,n01443537,1,1,0.86353886,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.850747,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00049712.JPEG,n01443537,1,1,0.75729096,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00002338.JPEG,n01484850,2,2,0.76501197,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.88361067,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00004311.JPEG,n01484850,2,2,0.66434544,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00004329.JPEG,n01484850,2,2,0.68839175,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00006491.JPEG,n01484850,2,2,0.65273446,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00008848.JPEG,n01484850,2,2,0.5199633,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00014467.JPEG,n01484850,2,2,0.8599669,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00015157.JPEG,n01484850,2,147,0.6188337,0,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00015220.JPEG,n01484850,2,2,0.72264594,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00016168.JPEG,n01484850,2,2,0.8125306,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00016859.JPEG,n01484850,2,2,0.7515389,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00016988.JPEG,n01484850,2,2,0.8400471,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00017105.JPEG,n01484850,2,2,0.9055255,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00017194.JPEG,n01484850,2,3,0.6000686,0,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00019409.JPEG,n01484850,2,2,0.532984,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00019435.JPEG,n01484850,2,2,0.87217665,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00020011.JPEG,n01484850,2,2,0.7150913,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00023185.JPEG,n01484850,2,3,0.4154501,0,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00024940.JPEG,n01484850,2,3,0.68550307,0,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00025900.JPEG,n01484850,2,2,0.8081354,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00027063.JPEG,n01484850,2,2,0.73182297,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00027419.JPEG,n01484850,2,2,0.85719264,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00027514.JPEG,n01484850,2,3,0.63832384,0,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00028028.JPEG,n01484850,2,2,0.73931265,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00029481.JPEG,n01484850,2,2,0.8081902,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00030127.JPEG,n01484850,2,2,0.8828712,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00031466.JPEG,n01484850,2,2,0.7691504,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00031720.JPEG,n01484850,2,149,0.7998713,0,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00031808.JPEG,n01484850,2,2,0.80673355,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00032288.JPEG,n01484850,2,2,0.8737629,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00032417.JPEG,n01484850,2,3,0.8394338,0,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00034950.JPEG,n01484850,2,2,0.87516576,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00035223.JPEG,n01484850,2,2,0.8636884,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00035774.JPEG,n01484850,2,2,0.845399,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00036737.JPEG,n01484850,2,2,0.5783108,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00037050.JPEG,n01484850,2,395,0.35602215,0,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00037135.JPEG,n01484850,2,2,0.86608076,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00037488.JPEG,n01484850,2,2,0.83201283,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00037998.JPEG,n01484850,2,2,0.7301212,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00039304.JPEG,n01484850,2,2,0.8390899,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00039445.JPEG,n01484850,2,2,0.3972628,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00039534.JPEG,n01484850,2,2,0.75746274,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00039865.JPEG,n01484850,2,2,0.8946691,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00040098.JPEG,n01484850,2,3,0.73322135,0,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00040710.JPEG,n01484850,2,2,0.8716649,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00042345.JPEG,n01484850,2,2,0.5610548,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00044052.JPEG,n01484850,2,2,0.498692,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00044896.JPEG,n01484850,2,2,0.70362276,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00045730.JPEG,n01484850,2,2,0.5745216,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00046171.JPEG,n01484850,2,2,0.60089874,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00002922.JPEG,n01491361,3,3,0.68154645,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00002969.JPEG,n01491361,3,3,0.63863784,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00003183.JPEG,n01491361,3,2,0.64690995,0,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00003204.JPEG,n01491361,3,3,0.8105948,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00007743.JPEG,n01491361,3,3,0.8983421,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00007875.JPEG,n01491361,3,3,0.51800925,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00008024.JPEG,n01491361,3,3,0.884151,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00008108.JPEG,n01491361,3,3,0.71281636,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00010074.JPEG,n01491361,3,3,0.7506751,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00012328.JPEG,n01491361,3,3,0.8573821,1,imagenet_c,gaussian_noise,1,none
maxvit_t,ILSVRC2012_val_00013484.JPEG,n01491361,3,3,0.87177956,1,imagenet_c,gaussian_noise,1,none
