model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
mobilenet_v3_large,ILSVRC2012_val_00000293.JPEG,n01440764,0,327,0.07162599,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00002138.JPEG,n01440764,0,103,0.12112489,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00003014.JPEG,n01440764,0,693,0.063159786,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.18267947,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.144358,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.24785362,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.82159436,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.72170705,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.85743934,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8092698,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00010306.JPEG,n01440764,0,356,0.19101463,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.821224,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.7521493,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.81821537,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8000203,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.7773647,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.83395207,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.34707835,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.80449814,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00017995.JPEG,n01440764,0,568,0.06613925,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00018317.JPEG,n01440764,0,491,0.09758848,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.06785485,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.66883856,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.6979327,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8016906,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.19096477,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.47790462,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00026064.JPEG,n01440764,0,29,0.2325937,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.77839965,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.12933949,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.22218469,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.11419244,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00031094.JPEG,n01440764,0,177,0.0711721,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00031333.JPEG,n01440764,0,88,0.22051749,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.6814752,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.15583685,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00037383.JPEG,n01440764,0,121,0.23963135,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.5418568,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.26178718,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.45205513,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.7171048,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.68669397,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.8154259,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00041939.JPEG,n01440764,0,514,0.09067776,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.8062862,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.28705618,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.1997991,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.7930333,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.82591,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.8067727,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.23348671,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00000262.JPEG,n01443537,1,973,0.18745108,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.85917586,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.8674456,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.14507945,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00002848.JPEG,n01443537,1,107,0.551252,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.69512266,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.32927728,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.4476004,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.15205188,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00005870.JPEG,n01443537,1,927,0.12301997,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00006007.JPEG,n01443537,1,117,0.27215838,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.44738507,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.9243793,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.14608237,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.4834478,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00011914.JPEG,n01443537,1,973,0.075521566,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00012880.JPEG,n01443537,1,975,0.14441569,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00013513.JPEG,n01443537,1,925,0.3898522,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.25062847,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.054841854,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.56945235,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.106885605,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00020436.JPEG,n01443537,1,300,0.15177988,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.5241078,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.7006311,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.5736597,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.08293412,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.87797606,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00028713.JPEG,n01443537,1,125,0.1619246,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.18791659,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.5095648,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.6879251,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00032235.JPEG,n01443537,1,989,0.11623701,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00032258.JPEG,n01443537,1,115,0.19392632,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.28329632,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.85117054,1,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00037846.JPEG,n01443537,1,862,0.07505813,0,imagenet_c,glass_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00038057.JPEG,n01443537,1,301,0.4734181,0,imagenet_c,glass_blur,2,none
