model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
mobilenet_v3_large,ILSVRC2012_val_00000293.JPEG,n01440764,0,103,0.20713152,0,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00002138.JPEG,n01440764,0,370,0.13352816,0,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00003014.JPEG,n01440764,0,444,0.23832697,0,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00006697.JPEG,n01440764,0,428,0.068529375,0,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.81679636,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.14001451,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.88837606,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.69040686,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.81292135,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.74942446,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00010306.JPEG,n01440764,0,381,0.09361199,0,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.6992987,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.7511303,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8268299,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8724192,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.63152885,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.6362663,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.2158043,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8907148,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.78948426,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00018317.JPEG,n01440764,0,671,0.19272533,0,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00021740.JPEG,n01440764,0,39,0.0984191,0,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.72794145,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.6104645,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8371119,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.42110074,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.7570882,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.6498568,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00026397.JPEG,n01440764,0,843,0.2707148,0,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.24166077,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.351622,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.60499936,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00031094.JPEG,n01440764,0,671,0.33156428,0,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.25045198,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.90040267,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.051962756,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.2664395,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.58204854,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.25412765,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00037861.JPEG,n01440764,0,880,0.13813888,0,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.55123055,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.5201446,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.75038433,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00041939.JPEG,n01440764,0,880,0.13137245,0,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.71996766,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.100573026,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00046252.JPEG,n01440764,0,390,0.3397861,0,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.64091766,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.7920266,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.8522195,1,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.44572425,0,imagenet_c,motion_blur,3,none
mobilenet_v3_large,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.22261673,1,imagenet_c,motion_blur,3,none
