model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
mobilenet_v3_large,ILSVRC2012_val_00000293.JPEG,n01440764,0,103,0.115932874,0,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.35650697,1,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00003014.JPEG,n01440764,0,444,0.11124332,0,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00006697.JPEG,n01440764,0,671,0.12508781,0,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.68686396,1,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00009111.JPEG,n01440764,0,103,0.23238038,0,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.84418523,1,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8176147,1,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.77850246,1,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.66375035,1,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00010306.JPEG,n01440764,0,375,0.21593264,0,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.7195435,1,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.68345165,1,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.61833817,1,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.80889666,1,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.75357103,1,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.7989091,1,imagenet_c,zoom_blur,2,none
mobilenet_v3_large,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.65874565,1,imagenet_c,zoom_blur,2,none
