model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
mobilenet_v3_large,ILSVRC2012_val_00000293.JPEG,n01440764,0,111,0.040982556,0,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00002138.JPEG,n01440764,0,764,0.03878274,0,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00003014.JPEG,n01440764,0,842,0.1604737,0,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00006697.JPEG,n01440764,0,981,0.027826235,0,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00007197.JPEG,n01440764,0,712,0.045570195,0,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00009111.JPEG,n01440764,0,764,0.04194951,0,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00009191.JPEG,n01440764,0,394,0.08746909,0,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00009346.JPEG,n01440764,0,669,0.022289418,0,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.4907992,1,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.54228425,1,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00010306.JPEG,n01440764,0,111,0.03667103,0,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00011233.JPEG,n01440764,0,925,0.06215094,0,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00011993.JPEG,n01440764,0,940,0.021208016,0,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00012503.JPEG,n01440764,0,520,0.010384482,0,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00013716.JPEG,n01440764,0,870,0.016413264,0,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00016018.JPEG,n01440764,0,103,0.013371654,0,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00017472.JPEG,n01440764,0,885,0.034537263,0,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.29279122,1,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.19785933,1,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.13056026,1,imagenet_c,contrast,5,none
mobilenet_v3_large,ILSVRC2012_val_00018317.JPEG,n01440764,0,948,0.04978771,0,imagenet_c,contrast,5,none
