model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
mobilenet_v3_large,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.41425684,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.31883898,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.46348155,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8500437,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.9131092,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.6196771,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.87997913,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.7814807,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8871075,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8243071,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.2195184,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8250395,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.77732986,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.85670745,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.89627916,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8237593,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.7985692,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.65534216,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8453909,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.8042344,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.8658767,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.8094757,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.8288573,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.79411656,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.81306094,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.81066704,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.8232411,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.76350075,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.8784687,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.4818902,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.64640236,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.8172898,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00031094.JPEG,n01440764,0,413,0.13927086,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.8583722,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.8302263,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.3193252,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.65908474,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.7723283,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.58482856,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.7633387,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.78042907,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.9002723,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.87189287,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.91975933,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.8693368,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.8595417,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.71829796,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.82515204,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.8806856,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.8444667,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.8610175,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00000262.JPEG,n01443537,1,149,0.23315865,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.87305653,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.8183452,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00002241.JPEG,n01443537,1,122,0.045936543,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.8865634,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.70280904,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.69032085,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.47365862,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.5659079,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00005870.JPEG,n01443537,1,122,0.19988504,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.6822581,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.31913677,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.9035534,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00010363.JPEG,n01443537,1,493,0.05457726,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00010509.JPEG,n01443537,1,925,0.33677894,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.571784,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00012880.JPEG,n01443537,1,395,0.12298869,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.3316861,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.4200889,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.2965348,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.7639925,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.6756003,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00020436.JPEG,n01443537,1,4,0.09023158,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.5611678,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.7703758,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.8153177,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.48287407,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.8152646,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00028713.JPEG,n01443537,1,122,0.304651,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.040596053,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.67514443,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00031138.JPEG,n01443537,1,989,0.19938508,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00032235.JPEG,n01443537,1,29,0.76510805,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.55620325,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.81104887,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.81660664,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.25254124,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00038057.JPEG,n01443537,1,301,0.6420165,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.50156265,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.18073143,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00046915.JPEG,n01443537,1,980,0.21974246,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00046969.JPEG,n01443537,1,395,0.34145394,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.35745755,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.7863629,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.7477736,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00048864.JPEG,n01443537,1,945,0.24353546,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00049585.JPEG,n01443537,1,1,0.7072417,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.687336,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00049712.JPEG,n01443537,1,1,0.18227838,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00002338.JPEG,n01484850,2,149,0.23044822,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.3350059,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00004311.JPEG,n01484850,2,394,0.18271974,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00004329.JPEG,n01484850,2,3,0.5903066,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00006491.JPEG,n01484850,2,2,0.3420501,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00008848.JPEG,n01484850,2,3,0.4116204,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00014467.JPEG,n01484850,2,2,0.39738438,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00015157.JPEG,n01484850,2,148,0.33702105,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00015220.JPEG,n01484850,2,3,0.26775745,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00016168.JPEG,n01484850,2,2,0.42441657,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00016859.JPEG,n01484850,2,2,0.5376297,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00016988.JPEG,n01484850,2,2,0.36689177,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00017105.JPEG,n01484850,2,653,0.04413608,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00017194.JPEG,n01484850,2,3,0.44751137,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00019409.JPEG,n01484850,2,3,0.29131728,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00019435.JPEG,n01484850,2,2,0.45150778,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00020011.JPEG,n01484850,2,2,0.4567856,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00023185.JPEG,n01484850,2,4,0.2728889,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00024940.JPEG,n01484850,2,3,0.6765754,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00025900.JPEG,n01484850,2,2,0.4281569,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00027063.JPEG,n01484850,2,2,0.42646718,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00027419.JPEG,n01484850,2,149,0.29975033,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00027514.JPEG,n01484850,2,3,0.376897,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00028028.JPEG,n01484850,2,2,0.27443603,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00029481.JPEG,n01484850,2,2,0.41619074,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00030127.JPEG,n01484850,2,2,0.666563,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00031466.JPEG,n01484850,2,148,0.20445949,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00031720.JPEG,n01484850,2,149,0.41392723,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00031808.JPEG,n01484850,2,2,0.57714075,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00032288.JPEG,n01484850,2,4,0.40911043,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00032417.JPEG,n01484850,2,3,0.76647335,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00034950.JPEG,n01484850,2,2,0.5982134,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00035223.JPEG,n01484850,2,3,0.44615558,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00035774.JPEG,n01484850,2,3,0.36512417,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00036737.JPEG,n01484850,2,5,0.42904425,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00037050.JPEG,n01484850,2,3,0.3583248,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00037135.JPEG,n01484850,2,2,0.47596118,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00037488.JPEG,n01484850,2,2,0.15746768,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00037998.JPEG,n01484850,2,2,0.41244677,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00039304.JPEG,n01484850,2,2,0.19993386,1,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00039445.JPEG,n01484850,2,147,0.23420823,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00039534.JPEG,n01484850,2,395,0.18316361,0,imagenet_c,jpeg_compression,2,none
mobilenet_v3_large,ILSVRC2012_val_00039865.JPEG,n01484850,2,2,0.40598875,1,imagenet_c,jpeg_compression,2,none
