model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
mobilenet_v3_large,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.08925459,0,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.26456678,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.4335153,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.90552247,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.4845326,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.36682615,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8449707,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.82808805,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8805917,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.7931682,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00010306.JPEG,n01440764,0,51,0.22492805,0,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8358515,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.7349298,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8738727,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.80778295,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.7491239,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.74311113,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.80955374,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8594912,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.71969736,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.6861635,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.34654585,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.66033185,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.7893295,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.84810954,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.89243853,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.8577705,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.2531085,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.8504087,1,imagenet_c,pixelate,3,none
mobilenet_v3_large,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.044392776,1,imagenet_c,pixelate,3,none
