model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
mobilenet_v3_large,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.2368944,0,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00002138.JPEG,n01440764,0,395,0.19648147,0,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.23563029,1,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8376043,1,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.74391276,1,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00009111.JPEG,n01440764,0,764,0.19870858,0,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.89602077,1,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.6290512,1,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8020107,1,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.81846905,1,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.12866852,0,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.84078586,1,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.7555612,1,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.64626175,1,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8317972,1,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.80803645,1,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.85109633,1,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.7434699,1,imagenet_c,gaussian_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.82229584,1,imagenet_c,gaussian_noise,2,none
