model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
mobilenet_v3_large,ILSVRC2012_val_00000293.JPEG,n01440764,0,111,0.021951053,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00002138.JPEG,n01440764,0,885,0.056311253,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00003014.JPEG,n01440764,0,870,0.055853013,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00006697.JPEG,n01440764,0,103,0.03091086,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00007197.JPEG,n01440764,0,111,0.08771983,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00009111.JPEG,n01440764,0,885,0.04054209,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00009191.JPEG,n01440764,0,4,0.018768286,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00009346.JPEG,n01440764,0,607,0.03165449,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00009379.JPEG,n01440764,0,4,0.06679682,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00009396.JPEG,n01440764,0,885,0.41679716,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00010306.JPEG,n01440764,0,23,0.05025579,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00011233.JPEG,n01440764,0,103,0.031120637,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00011993.JPEG,n01440764,0,111,0.026570417,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00012503.JPEG,n01440764,0,735,0.014580956,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00013716.JPEG,n01440764,0,862,0.06343356,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00016018.JPEG,n01440764,0,607,0.0276042,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00017472.JPEG,n01440764,0,885,0.08285868,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00017699.JPEG,n01440764,0,885,0.05079831,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00017700.JPEG,n01440764,0,885,0.021456655,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00017995.JPEG,n01440764,0,107,0.08627301,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00018317.JPEG,n01440764,0,395,0.051458657,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00021740.JPEG,n01440764,0,107,0.024060274,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00023559.JPEG,n01440764,0,103,0.098628595,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00024235.JPEG,n01440764,0,107,0.1489058,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00024327.JPEG,n01440764,0,885,0.14573802,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00025129.JPEG,n01440764,0,394,0.1704135,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00025527.JPEG,n01440764,0,885,0.04353903,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00026064.JPEG,n01440764,0,107,0.05037936,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00026397.JPEG,n01440764,0,103,0.060844507,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00028158.JPEG,n01440764,0,4,0.07029276,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00029930.JPEG,n01440764,0,111,0.020077147,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00030740.JPEG,n01440764,0,51,0.029673735,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00031094.JPEG,n01440764,0,103,0.024688803,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00031333.JPEG,n01440764,0,111,0.03918007,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00034654.JPEG,n01440764,0,107,0.14760044,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00037375.JPEG,n01440764,0,579,0.025830576,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00037383.JPEG,n01440764,0,4,0.050411243,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00037596.JPEG,n01440764,0,465,0.031828985,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00037834.JPEG,n01440764,0,5,0.07360906,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00037861.JPEG,n01440764,0,183,0.04377466,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00039905.JPEG,n01440764,0,107,0.036410674,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00040358.JPEG,n01440764,0,103,0.05067357,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00040833.JPEG,n01440764,0,607,0.00793824,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00041939.JPEG,n01440764,0,45,0.039608948,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00045866.JPEG,n01440764,0,6,0.016347038,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00045880.JPEG,n01440764,0,107,0.13424292,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00046252.JPEG,n01440764,0,111,0.06352417,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00046499.JPEG,n01440764,0,58,0.023961378,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00048204.JPEG,n01440764,0,4,0.18707412,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00048969.JPEG,n01440764,0,885,0.03263305,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00000236.JPEG,n01443537,1,107,0.29013017,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00000262.JPEG,n01443537,1,4,0.16060476,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00000307.JPEG,n01443537,1,607,0.1101741,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.36329192,1,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00002241.JPEG,n01443537,1,885,0.2348124,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00002848.JPEG,n01443537,1,107,0.6090848,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00003150.JPEG,n01443537,1,607,0.055683766,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00003735.JPEG,n01443537,1,21,0.031259764,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00004655.JPEG,n01443537,1,107,0.098112576,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00004677.JPEG,n01443537,1,313,0.0883468,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00005870.JPEG,n01443537,1,78,0.07224908,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00006007.JPEG,n01443537,1,78,0.04544448,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00006216.JPEG,n01443537,1,607,0.08167042,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00009034.JPEG,n01443537,1,33,0.20570454,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00010363.JPEG,n01443537,1,21,0.03761887,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00010509.JPEG,n01443537,1,607,0.07496756,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00011914.JPEG,n01443537,1,21,0.016672485,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00012880.JPEG,n01443537,1,913,0.03788229,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00013513.JPEG,n01443537,1,607,0.14463212,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00013623.JPEG,n01443537,1,310,0.1376087,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00016962.JPEG,n01443537,1,107,0.1322958,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00018075.JPEG,n01443537,1,607,0.15812299,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00019459.JPEG,n01443537,1,111,0.052629862,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00020436.JPEG,n01443537,1,314,0.052640915,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00020785.JPEG,n01443537,1,607,0.02903894,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00020822.JPEG,n01443537,1,103,0.10100756,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00021905.JPEG,n01443537,1,741,0.043288216,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00022138.JPEG,n01443537,1,103,0.075535186,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00023869.JPEG,n01443537,1,607,0.28841144,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00028713.JPEG,n01443537,1,314,0.098626666,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00030060.JPEG,n01443537,1,103,0.037676275,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00030217.JPEG,n01443537,1,885,0.041076973,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00031138.JPEG,n01443537,1,21,0.0489895,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00032235.JPEG,n01443537,1,78,0.03846396,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00032258.JPEG,n01443537,1,607,0.31800357,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00032675.JPEG,n01443537,1,4,0.06976407,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00034386.JPEG,n01443537,1,607,0.02748452,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.033330612,1,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00038057.JPEG,n01443537,1,4,0.03053556,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00044095.JPEG,n01443537,1,111,0.20196122,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00045761.JPEG,n01443537,1,21,0.059914712,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00046915.JPEG,n01443537,1,111,0.036394447,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00046969.JPEG,n01443537,1,21,0.106999636,0,imagenet_c,impulse_noise,5,none
mobilenet_v3_large,ILSVRC2012_val_00047396.JPEG,n01443537,1,607,0.3789888,0,imagenet_c,impulse_noise,5,none
