model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
mobilenet_v3_large,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.26343045,0,imagenet_c,shot_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00002138.JPEG,n01440764,0,764,0.23803926,0,imagenet_c,shot_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.27252182,1,imagenet_c,shot_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.69330806,1,imagenet_c,shot_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.82359654,1,imagenet_c,shot_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00009111.JPEG,n01440764,0,764,0.2318107,0,imagenet_c,shot_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.727993,1,imagenet_c,shot_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.7412972,1,imagenet_c,shot_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.80686086,1,imagenet_c,shot_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.7504407,1,imagenet_c,shot_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.08088038,0,imagenet_c,shot_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8212094,1,imagenet_c,shot_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.78906614,1,imagenet_c,shot_noise,2,none
mobilenet_v3_large,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.81776845,1,imagenet_c,shot_noise,2,none
