class_id,accuracy
0,0.9
1,0.94
2,0.82
3,0.8
4,0.86
5,0.74
6,0.88
7,0.72
8,0.88
9,1.0
10,0.96
11,0.98
12,0.94
13,1.0
14,0.94
15,0.96
16,0.9
17,0.94
18,0.96
19,0.98
20,0.9
21,0.82
22,0.98
23,0.96
24,0.98
25,0.98
26,0.6
27,0.76
28,0.92
29,0.94
30,0.82
31,0.92
32,0.48
33,0.84
34,0.72
35,0.68
36,0.54
37,0.88
38,0.92
39,0.92
40,0.6
41,0.92
42,0.84
43,0.9
44,0.66
45,0.82
46,0.42
47,0.8
48,0.96
49,0.82
50,0.88
51,0.96
52,0.76
53,0.9
54,0.68
55,0.58
56,0.84
57,0.9
58,0.74
59,0.7
60,0.4
61,0.76
62,0.68
63,0.9
64,0.74
65,0.76
66,0.6
67,0.72
68,0.38
69,0.98
70,0.92
71,0.96
72,0.88
73,0.42
74,0.64
75,0.9
76,0.94
77,0.8
78,0.8
79,0.88
80,0.92
81,0.86
82,0.84
83,0.9
84,0.94
85,0.92
86,0.86
87,0.94
88,0.96
89,0.96
90,0.98
91,0.92
92,0.98
93,1.0
94,0.96
95,0.94
96,0.92
97,0.94
98,0.94
99,0.9
100,0.98
101,0.72
102,1.0
103,0.8
104,0.86
105,0.88
106,0.74
107,0.96
108,0.64
109,0.92
110,0.88
111,0.92
112,0.78
113,0.9
114,0.8
115,0.9
116,0.88
117,0.84
118,0.86
119,0.7
120,0.72
121,0.82
122,0.88
123,0.82
124,0.76
125,1.0
126,0.8
127,0.9
128,0.86
129,1.0
130,0.96
131,0.88
132,0.94
133,0.94
134,0.74
135,0.98
136,0.96
137,0.92
138,0.94
139,1.0
140,0.88
141,0.92
142,0.92
143,0.96
144,0.96
145,0.96
146,0.96
147,0.92
148,0.98
149,0.88
150,0.9
151,0.72
152,0.86
153,0.86
154,0.9
155,0.68
156,0.92
157,0.94
158,0.62
159,0.82
160,0.96
161,0.78
162,0.9
163,0.52
164,0.88
165,0.68
166,0.78
167,0.36
168,0.86
169,0.96
170,0.72
171,0.92
172,0.88
173,0.7
174,0.94
175,0.78
176,0.8
177,0.92
178,0.96
179,0.7
180,0.68
181,0.94
182,0.88
183,0.94
184,0.74
185,0.76
186,0.74
187,0.66
188,0.88
189,0.74
190,0.92
191,0.86
192,0.78
193,0.48
194,0.82
195,0.86
196,0.66
197,0.8
198,0.92
199,0.82
200,0.8
201,0.7
202,0.84
203,0.92
204,0.82
205,0.82
206,0.82
207,0.9
208,0.82
209,0.84
210,0.9
211,0.86
212,0.86
213,0.8
214,0.88
215,0.9
216,0.92
217,0.94
218,0.9
219,0.78
220,0.76
221,0.84
222,0.72
223,0.9
224,0.78
225,0.96
226,0.6
227,0.62
228,0.92
229,0.92
230,0.78
231,0.66
232,0.78
233,0.78
234,0.98
235,0.86
236,0.86
237,0.82
238,0.66
239,0.96
240,0.36
241,0.78
242,0.78
243,0.82
244,0.94
245,0.94
246,0.78
247,0.94
248,0.58
249,0.72
250,0.5
251,0.98
252,0.86
253,0.92
254,0.98
255,1.0
256,0.82
257,0.82
258,1.0
259,0.98
260,0.88
261,0.88
262,0.96
263,0.92
264,0.74
265,0.6
266,0.54
267,0.96
268,0.88
269,0.76
270,0.92
271,0.58
272,0.62
273,0.78
274,0.94
275,1.0
276,0.94
277,0.6
278,0.66
279,0.94
280,0.74
281,0.6
282,0.26
283,0.86
284,0.96
285,0.66
286,0.94
287,0.8
288,0.86
289,0.9
290,0.82
291,0.98
292,0.96
293,0.94
294,0.94
295,0.84
296,0.94
297,0.76
298,0.8
299,0.9
300,0.94
301,0.92
302,0.62
303,0.8
304,0.66
305,0.9
306,0.92
307,0.86
308,0.88
309,0.84
310,0.78
311,0.68
312,0.74
313,0.82
314,0.82
315,0.88
316,0.94
317,0.92
318,0.84
319,0.8
320,0.94
321,0.98
322,0.98
323,0.92
324,0.96
325,0.94
326,0.94
327,0.9
328,0.88
329,0.76
330,0.74
331,0.9
332,0.96
333,1.0
334,0.94
335,0.88
336,0.94
337,0.82
338,0.84
339,0.96
340,0.96
341,0.56
342,0.86
343,0.94
344,0.96
345,0.62
346,0.94
347,0.9
348,0.74
349,0.6
350,0.96
351,0.96
352,0.84
353,0.74
354,0.98
355,0.9
356,0.46
357,0.84
358,0.46
359,0.72
360,0.8
361,0.92
362,0.9
363,0.9
364,0.98
365,0.92
366,0.88
367,0.9
368,0.78
369,0.8
370,0.84
371,0.68
372,0.92
373,0.78
374,0.74
375,0.94
376,1.0
377,0.7
378,0.82
379,0.88
380,0.62
381,0.5
382,0.8
383,0.82
384,0.94
385,0.58
386,0.56
387,0.94
388,0.96
389,0.86
390,0.72
391,0.94
392,0.94
393,0.88
394,0.84
395,0.86
396,0.96
397,0.92
398,0.82
399,0.9
400,0.44
401,0.86
402,0.62
403,0.86
404,0.96
405,0.76
406,0.68
407,0.9
408,0.7
409,0.7
410,0.86
411,0.68
412,0.6
413,0.58
414,0.58
415,0.4
416,0.92
417,0.92
418,0.64
419,0.84
420,0.96
421,0.8
422,0.6
423,0.8
424,0.68
425,0.96
426,0.84
427,0.66
428,0.8
429,0.76
430,0.98
431,0.86
432,0.92
433,0.78
434,0.6
435,0.48
436,0.72
437,0.7
438,0.56
439,0.82
440,0.74
441,0.82
442,0.8
443,0.7
444,0.9
445,0.58
446,0.74
447,0.7
448,0.88
449,0.86
450,0.96
451,0.86
452,0.78
453,0.7
454,0.6
455,0.8
456,0.78
457,0.86
458,0.94
459,0.68
460,0.68
461,0.48
462,0.74
463,0.62
464,0.58
465,0.56
466,0.98
467,0.72
468,0.78
469,0.56
470,0.64
471,0.9
472,0.98
473,0.7
474,0.78
475,0.9
476,0.94
477,0.68
478,0.44
479,0.46
480,0.78
481,0.64
482,0.28
483,0.78
484,0.74
485,0.58
486,0.86
487,0.72
488,0.52
489,0.74
490,0.78
491,0.92
492,0.68
493,0.36
494,0.76
495,0.84
496,0.96
497,0.66
498,0.72
499,0.66
500,0.98
501,0.42
502,0.6
503,0.66
504,0.46
505,0.66
506,0.82
507,0.68
508,0.74
509,0.68
510,0.9
511,0.94
512,0.96
513,0.66
514,0.78
515,0.74
516,0.48
517,0.82
518,0.94
519,0.54
520,0.8
521,0.82
522,0.88
523,0.56
524,0.56
525,0.84
526,0.58
527,0.54
528,0.94
529,0.78
530,0.64
531,0.5
532,0.82
533,0.96
534,0.64
535,1.0
536,0.58
537,0.94
538,0.74
539,0.56
540,0.86
541,0.44
542,0.66
543,0.76
544,0.78
545,0.86
546,0.74
547,0.86
548,0.92
549,0.6
550,0.76
551,0.78
552,0.82
553,0.88
554,1.0
555,0.84
556,0.62
557,0.8
558,0.5
559,0.76
560,0.92
561,0.92
562,0.88
563,0.84
564,0.82
565,0.98
566,0.8
567,0.66
