model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
regnet_y_16gf,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.8473259,0,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.80336285,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.8797679,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8431792,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.81905043,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.8461797,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.81189746,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8392594,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8216781,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8044812,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.8618006,0,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.7951087,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.9116874,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.88524294,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8236458,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8853337,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8521618,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.86957806,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.85097027,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.825413,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.863026,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.8137663,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.88681084,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.83075315,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.87878865,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.7180572,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.85932755,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.8613781,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.85948265,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.7874605,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.83628035,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.79048055,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.9243789,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.7841292,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.8721631,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00037375.JPEG,n01440764,0,758,0.4951952,0,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.6990852,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.8811524,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.7705369,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.81936795,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.90492445,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.81237334,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.8174521,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.82478476,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.847905,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.7857481,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.8509739,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.88197184,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.86761844,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.8472945,1,imagenet,none,0,none
regnet_y_16gf,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.51845205,0,imagenet,none,0,none
