model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
regnet_y_16gf,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.24881162,0,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.3940246,1,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00003014.JPEG,n01440764,0,693,0.17103532,0,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.79148173,1,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.6842337,1,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00009111.JPEG,n01440764,0,382,0.12419828,0,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.77047783,1,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.7741171,1,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7659163,1,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8043433,1,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.84905887,0,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.73406494,1,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.81417453,1,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.7162835,1,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.7552419,1,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.7895325,1,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.7876899,1,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.7104515,1,imagenet_c,defocus_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.79584986,1,imagenet_c,defocus_blur,3,none
