model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
regnet_y_16gf,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.21006593,0,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.8356684,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00003014.JPEG,n01440764,0,244,0.45055118,0,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8453603,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.829515,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.68036383,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8015111,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8624376,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7992348,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8509538,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.83573925,0,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.7713132,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8543467,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8184808,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.79997826,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.88695824,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.861721,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8167665,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.79394776,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.86595875,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.17162292,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.83436143,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.82981926,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.7839018,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8042585,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.8572249,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.74710256,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.24613917,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.845581,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.8185719,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.7884879,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.5375544,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00031094.JPEG,n01440764,0,982,0.05821465,0,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.7278135,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.82034343,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00037375.JPEG,n01440764,0,389,0.40501487,0,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00037383.JPEG,n01440764,0,121,0.45253378,0,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.8678312,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.6626815,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.8298291,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.8536831,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.7707151,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.79871833,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.7964472,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.8557471,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.81831014,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.80135375,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.77851737,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.8337007,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.7623908,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00000236.JPEG,n01443537,1,657,0.1817281,0,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.29954955,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.8963769,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.86908126,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.425836,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.44301862,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.78377473,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.60645473,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.7878438,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.7294766,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00005870.JPEG,n01443537,1,429,0.6612744,0,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.6207236,0,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.8360002,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.8652331,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.6729625,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.88993394,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.7476605,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00012880.JPEG,n01443537,1,979,0.2016115,0,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.6762217,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00013623.JPEG,n01443537,1,973,0.73232394,0,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.38581115,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.74532497,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.34244087,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00020436.JPEG,n01443537,1,327,0.31127688,0,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.8610072,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.8655551,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.8384857,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.872377,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.894988,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00028713.JPEG,n01443537,1,121,0.20229794,0,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.34427276,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.75745785,1,imagenet_c,glass_blur,2,none
regnet_y_16gf,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.85025316,1,imagenet_c,glass_blur,2,none
