model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
regnet_y_16gf,ILSVRC2012_val_00000293.JPEG,n01440764,0,103,0.3762656,0,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.81768703,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00003014.JPEG,n01440764,0,444,0.604232,0,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.7321792,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.7541486,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.31214255,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.6827872,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8260323,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.75820774,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.78427714,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.8396233,0,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.7684614,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.780615,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.7010908,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.7641891,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.81272566,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.7725688,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.7869318,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.70248055,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.77455264,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00018317.JPEG,n01440764,0,671,0.3237334,0,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.5530396,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.7826514,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.74516904,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.74618554,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.7638064,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.7847738,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.7425811,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.7749553,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.7842289,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.70729,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.6541004,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00031094.JPEG,n01440764,0,671,0.24524003,0,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.7604136,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.8494646,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.70988816,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00037383.JPEG,n01440764,0,389,0.53706974,0,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.7511605,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.7429018,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.71418947,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.7525857,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.76198214,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.71866304,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.72099835,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.8002728,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.7736627,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.76895845,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.79032147,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.74150634,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.7758982,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00000236.JPEG,n01443537,1,1,0.5902551,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.2970411,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.8676124,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.8607293,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.37991798,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.65845895,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.87297857,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.9037374,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.79114354,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.6824718,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.34673932,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.52023363,0,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.8688429,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.8700428,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.4128592,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.8531317,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.79566246,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00012880.JPEG,n01443537,1,812,0.106331274,0,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.788875,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.8807873,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.5072339,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.8771649,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.8474525,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00020436.JPEG,n01443537,1,6,0.4540751,0,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.8957317,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.8402911,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.87123066,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.904285,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.91566616,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00028713.JPEG,n01443537,1,121,0.34433657,0,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.52681273,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.8315617,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.91110784,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00032235.JPEG,n01443537,1,1,0.6368051,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.7675062,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.89324325,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.87582135,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.71335983,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00038057.JPEG,n01443537,1,301,0.36375877,0,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.7546783,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.8166739,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00046915.JPEG,n01443537,1,1,0.5399573,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00046969.JPEG,n01443537,1,1,0.8723481,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.8479721,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.8635545,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.8666152,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00048864.JPEG,n01443537,1,1,0.8768344,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00049585.JPEG,n01443537,1,1,0.22821276,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.8593081,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00049712.JPEG,n01443537,1,149,0.13820757,0,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00002338.JPEG,n01484850,2,2,0.49474528,1,imagenet_c,motion_blur,3,none
regnet_y_16gf,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.7312198,1,imagenet_c,motion_blur,3,none
