model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
regnet_y_16gf,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.5945973,0,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.7834,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00003014.JPEG,n01440764,0,671,0.2114616,0,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.703192,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8187144,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00009111.JPEG,n01440764,0,356,0.07367269,0,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8059561,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.79153776,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8107732,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.7063517,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.56480235,0,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.7871139,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8488664,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.73711336,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.7860529,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.78638566,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.69993365,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.705931,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.7616761,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.7918382,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00018317.JPEG,n01440764,0,671,0.18989849,0,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00021740.JPEG,n01440764,0,103,0.123279706,0,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.5884472,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.7658922,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.73968107,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.7970701,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.7195129,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.36602873,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.82603514,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.43384212,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.7188305,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00030740.JPEG,n01440764,0,389,0.099816985,0,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00031094.JPEG,n01440764,0,671,0.7428531,0,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.7864136,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.78319836,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00037375.JPEG,n01440764,0,391,0.15886956,0,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00037383.JPEG,n01440764,0,998,0.24220462,0,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.7861125,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.6872363,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.77500707,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.7611168,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.7949971,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.78159714,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00041939.JPEG,n01440764,0,621,0.34252867,0,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.8082766,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.8053157,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.64464366,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.78197455,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.7669433,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.753997,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00000236.JPEG,n01443537,1,393,0.2081613,0,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.83160275,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.89786506,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.8969305,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00002241.JPEG,n01443537,1,476,0.10763245,0,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00002848.JPEG,n01443537,1,851,0.20191012,0,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.85325676,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.83603144,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.8122568,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.76431423,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.3055822,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.68376255,0,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.90202653,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.85235596,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.8013765,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.74542105,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.77075225,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00012880.JPEG,n01443537,1,1,0.26236475,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.7937269,1,imagenet_c,zoom_blur,4,none
regnet_y_16gf,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.83084846,1,imagenet_c,zoom_blur,4,none
