model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
regnet_y_16gf,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.4395759,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.6783784,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.7946977,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.7849231,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.85653293,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.8265949,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.80637413,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.78962827,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.70382917,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.81012684,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.7083415,0,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.78142774,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.83533096,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.77295774,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8019107,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8339713,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.82601094,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8384265,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.79419804,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.79493576,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.80351627,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.7753973,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.85719055,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.7602082,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.76403517,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.77977747,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.810793,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.84583324,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.83324707,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.7662424,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.80522996,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.7807847,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.41875145,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.79871255,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.8397765,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00037375.JPEG,n01440764,0,389,0.19084533,0,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.5029469,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.7517774,1,imagenet_c,gaussian_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.623394,1,imagenet_c,gaussian_noise,1,none
