model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
regnet_y_16gf,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.241516,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00002138.JPEG,n01440764,0,391,0.2186841,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.3649747,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8424733,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.80222577,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.7684532,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8243615,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.80950934,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.767743,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.82719463,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.4766156,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8051263,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.70487124,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.7863567,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8130043,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.80116034,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.78387076,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8594035,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.7697213,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.7722626,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.7906086,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.6313535,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.6385071,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.68629706,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.75903475,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.83300674,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.84170264,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.69427764,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.81371886,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.76424164,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.80328983,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.7427325,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.33024442,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.80874133,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.8075458,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00037375.JPEG,n01440764,0,758,0.4292081,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00037383.JPEG,n01440764,0,391,0.18439801,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.523325,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.58256453,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.82867056,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.82392114,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.8129943,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.8210575,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.7739587,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.82687956,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.7821717,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.6389291,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.8199731,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.762493,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.8404282,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.473464,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.74099946,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.8084948,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.8601357,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00002241.JPEG,n01443537,1,887,0.07330752,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.78458136,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.7385391,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.88558555,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.7797741,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.790003,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.84337735,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.34940594,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.7784277,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.84689903,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.8256982,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.8461577,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.7992653,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00012880.JPEG,n01443537,1,36,0.33623186,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.8497266,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.88186765,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.16693489,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.86338836,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.86004615,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00020436.JPEG,n01443537,1,26,0.40526944,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.82625604,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.83180714,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.8247363,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.8192719,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.81039065,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00028713.JPEG,n01443537,1,125,0.18137957,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.5181679,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.66325516,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.83116984,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00032235.JPEG,n01443537,1,5,0.26709932,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.84340304,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.8493176,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.87139773,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.5496545,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00038057.JPEG,n01443537,1,262,0.33141485,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.8076487,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.8696363,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00046915.JPEG,n01443537,1,1,0.5522833,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00046969.JPEG,n01443537,1,1,0.7347554,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.811425,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.82899076,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.86236984,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00048864.JPEG,n01443537,1,1,0.8585748,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00049585.JPEG,n01443537,1,1,0.6927204,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.870547,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00049712.JPEG,n01443537,1,107,0.5553935,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00002338.JPEG,n01484850,2,2,0.6678347,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.75138986,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00004311.JPEG,n01484850,2,389,0.24395433,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00004329.JPEG,n01484850,2,2,0.6886731,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00006491.JPEG,n01484850,2,3,0.7732163,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00008848.JPEG,n01484850,2,2,0.33993223,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00014467.JPEG,n01484850,2,2,0.8525832,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00015157.JPEG,n01484850,2,147,0.6070946,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00015220.JPEG,n01484850,2,4,0.5208016,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00016168.JPEG,n01484850,2,2,0.66070503,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00016859.JPEG,n01484850,2,2,0.65656334,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00016988.JPEG,n01484850,2,2,0.57184863,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00017105.JPEG,n01484850,2,2,0.5903419,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00017194.JPEG,n01484850,2,2,0.5292735,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00019409.JPEG,n01484850,2,2,0.479053,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00019435.JPEG,n01484850,2,2,0.802364,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00020011.JPEG,n01484850,2,2,0.431942,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00023185.JPEG,n01484850,2,4,0.3655332,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00024940.JPEG,n01484850,2,3,0.7977644,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00025900.JPEG,n01484850,2,2,0.6360125,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00027063.JPEG,n01484850,2,2,0.73170656,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00027419.JPEG,n01484850,2,2,0.66199243,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00027514.JPEG,n01484850,2,2,0.20642863,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00028028.JPEG,n01484850,2,147,0.4124097,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00029481.JPEG,n01484850,2,2,0.64738375,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00030127.JPEG,n01484850,2,2,0.81508523,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00031466.JPEG,n01484850,2,2,0.5268939,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00031720.JPEG,n01484850,2,148,0.7509144,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00031808.JPEG,n01484850,2,2,0.69978076,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00032288.JPEG,n01484850,2,2,0.44015047,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00032417.JPEG,n01484850,2,3,0.9043705,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00034950.JPEG,n01484850,2,3,0.5946408,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00035223.JPEG,n01484850,2,2,0.7023458,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00035774.JPEG,n01484850,2,2,0.7808025,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00036737.JPEG,n01484850,2,397,0.39472923,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00037050.JPEG,n01484850,2,395,0.72618026,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00037135.JPEG,n01484850,2,2,0.72434103,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00037488.JPEG,n01484850,2,2,0.91350055,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00037998.JPEG,n01484850,2,2,0.64669657,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00039304.JPEG,n01484850,2,2,0.38750598,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00039445.JPEG,n01484850,2,147,0.5320144,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00039534.JPEG,n01484850,2,2,0.23701604,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00039865.JPEG,n01484850,2,3,0.54153436,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00040098.JPEG,n01484850,2,4,0.341625,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00040710.JPEG,n01484850,2,2,0.6867137,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00042345.JPEG,n01484850,2,4,0.70428663,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00044052.JPEG,n01484850,2,3,0.35924175,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00044896.JPEG,n01484850,2,2,0.32261455,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00045730.JPEG,n01484850,2,2,0.64397955,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00046171.JPEG,n01484850,2,4,0.58387434,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00002922.JPEG,n01491361,3,3,0.59275967,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00002969.JPEG,n01491361,3,3,0.69322133,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00003183.JPEG,n01491361,3,3,0.7131145,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00003204.JPEG,n01491361,3,4,0.4721566,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00007743.JPEG,n01491361,3,3,0.88845384,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00007875.JPEG,n01491361,3,2,0.40616465,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00008024.JPEG,n01491361,3,3,0.76882046,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00008108.JPEG,n01491361,3,3,0.41700235,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00010074.JPEG,n01491361,3,3,0.33328387,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00012328.JPEG,n01491361,3,3,0.9296343,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00013484.JPEG,n01491361,3,3,0.7254184,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00013628.JPEG,n01491361,3,3,0.57688814,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00015631.JPEG,n01491361,3,3,0.40828297,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00018466.JPEG,n01491361,3,3,0.7534888,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00019424.JPEG,n01491361,3,147,0.78604317,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00023443.JPEG,n01491361,3,3,0.334231,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00023935.JPEG,n01491361,3,34,0.33068994,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00024854.JPEG,n01491361,3,3,0.83659464,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00024895.JPEG,n01491361,3,3,0.9095212,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00025133.JPEG,n01491361,3,4,0.5628078,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00025137.JPEG,n01491361,3,3,0.49646527,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00025640.JPEG,n01491361,3,3,0.9479332,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00025686.JPEG,n01491361,3,3,0.7050973,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00025969.JPEG,n01491361,3,3,0.92790824,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00026001.JPEG,n01491361,3,3,0.7816335,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00028564.JPEG,n01491361,3,147,0.351535,0,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00029300.JPEG,n01491361,3,3,0.77008045,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00029568.JPEG,n01491361,3,3,0.8039082,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00030156.JPEG,n01491361,3,3,0.7022654,1,imagenet_c,impulse_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00030658.JPEG,n01491361,3,3,0.80546016,1,imagenet_c,impulse_noise,1,none
