model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
regnet_y_16gf,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.3875548,1,imagenet_c,shot_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.6246099,1,imagenet_c,shot_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.7972974,1,imagenet_c,shot_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.80752116,1,imagenet_c,shot_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.84319645,1,imagenet_c,shot_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.84095556,1,imagenet_c,shot_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.7930339,1,imagenet_c,shot_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.76395124,1,imagenet_c,shot_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7267317,1,imagenet_c,shot_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.7708429,1,imagenet_c,shot_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.43950304,0,imagenet_c,shot_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.76291186,1,imagenet_c,shot_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.83984154,1,imagenet_c,shot_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.7852798,1,imagenet_c,shot_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.79742867,1,imagenet_c,shot_noise,1,none
regnet_y_16gf,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.85435885,1,imagenet_c,shot_noise,1,none
