model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnet152,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.55444944,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.9646317,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00003014.JPEG,n01440764,0,391,0.5562016,0,imagenet,none,0,none
resnet152,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.99983716,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.9999448,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.99925,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.9994929,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.996815,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.97234046,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.99772793,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.85876185,0,imagenet,none,0,none
resnet152,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.99988925,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.999603,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.98993695,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9875767,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.999808,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9999968,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.99987423,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.99980265,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.999067,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.9986243,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.6623073,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.99966085,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.998697,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.9998411,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.9837847,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.997285,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.8884631,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.99997854,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.99934214,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.99992716,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.9975592,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00031094.JPEG,n01440764,0,391,0.74474245,0,imagenet,none,0,none
resnet152,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.9997851,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.99827933,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00037375.JPEG,n01440764,0,758,0.9495919,0,imagenet,none,0,none
resnet152,ILSVRC2012_val_00037383.JPEG,n01440764,0,33,0.63207316,0,imagenet,none,0,none
resnet152,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.97887015,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.99962175,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.99601233,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.9999311,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.9999838,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.9999031,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.9999999,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.99937975,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.99901617,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.99963534,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.9998511,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.9912178,1,imagenet,none,0,none
resnet152,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.9981212,1,imagenet,none,0,none
