model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnet152,ILSVRC2012_val_00000293.JPEG,n01440764,0,329,0.80691457,0,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00002138.JPEG,n01440764,0,329,0.67466813,0,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00003014.JPEG,n01440764,0,552,0.18595132,0,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00006697.JPEG,n01440764,0,188,0.24251583,0,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00007197.JPEG,n01440764,0,712,0.4582999,0,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00009111.JPEG,n01440764,0,150,0.15301163,0,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.1987027,1,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00009346.JPEG,n01440764,0,382,0.7284252,0,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.69388956,1,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00009396.JPEG,n01440764,0,188,0.23869738,0,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00010306.JPEG,n01440764,0,73,0.32503513,0,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8648042,1,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.9993766,1,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00012503.JPEG,n01440764,0,188,0.06784333,0,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.73901755,1,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.31404796,1,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.598294,1,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00017699.JPEG,n01440764,0,114,0.20065096,0,imagenet_c,glass_blur,3,none
resnet152,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.97759664,1,imagenet_c,glass_blur,3,none
