model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnet152,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.33235565,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.9667904,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00003014.JPEG,n01440764,0,391,0.4289896,0,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.99938226,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.9998417,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.9547454,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.99938846,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.94386023,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.96403974,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.99990916,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.35688326,0,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.99963784,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.9998994,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.9995521,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9982973,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.998223,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9999894,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.9996538,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.99993527,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.9972601,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.9972671,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.9588143,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.99979633,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.983723,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.99999535,1,imagenet_c,motion_blur,1,none
resnet152,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.9900277,1,imagenet_c,motion_blur,1,none
