model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnet152,ILSVRC2012_val_00000293.JPEG,n01440764,0,58,0.14040828,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.40362066,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00003014.JPEG,n01440764,0,671,0.1238465,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.97476554,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00007197.JPEG,n01440764,0,669,0.48638797,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00009111.JPEG,n01440764,0,19,0.17994533,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.9998568,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.56079596,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7977672,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.826332,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.3959963,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.9384482,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00011993.JPEG,n01440764,0,380,0.1426367,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00012503.JPEG,n01440764,0,998,0.87022114,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.97187054,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.32887843,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00017472.JPEG,n01440764,0,107,0.2149208,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00017699.JPEG,n01440764,0,392,0.37766966,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.999984,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00017995.JPEG,n01440764,0,34,0.10090946,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00018317.JPEG,n01440764,0,621,0.19904931,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.15526877,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.9900921,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.42616397,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.99997616,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.33268985,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00025527.JPEG,n01440764,0,309,0.6850314,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00026064.JPEG,n01440764,0,328,0.37285128,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.7643535,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00028158.JPEG,n01440764,0,94,0.38952515,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00029930.JPEG,n01440764,0,392,0.23018447,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00030740.JPEG,n01440764,0,981,0.09004882,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00031094.JPEG,n01440764,0,128,0.48024443,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00031333.JPEG,n01440764,0,985,0.18962222,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.810008,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00037375.JPEG,n01440764,0,904,0.23005398,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00037383.JPEG,n01440764,0,749,0.84072965,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.95178086,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.96437764,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.96973735,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.9323333,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.99996567,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.99824,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00041939.JPEG,n01440764,0,621,0.22790855,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.9976877,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.99379385,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00046252.JPEG,n01440764,0,361,0.09025827,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.99493766,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.88653195,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.95811784,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00000236.JPEG,n01443537,1,393,0.30463776,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00000262.JPEG,n01443537,1,5,0.26440793,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.9999006,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.9998821,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00002241.JPEG,n01443537,1,107,0.17301653,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00002848.JPEG,n01443537,1,107,0.26627636,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.99831796,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.9650091,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.85347795,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00004677.JPEG,n01443537,1,96,0.3189335,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.8859734,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00006007.JPEG,n01443537,1,986,0.42779666,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.99996376,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.9999937,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.9995603,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.966734,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.9968162,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00012880.JPEG,n01443537,1,1,0.5428766,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.9994103,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.86836344,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.41622868,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.99995065,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.33493185,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00020436.JPEG,n01443537,1,1,0.39531308,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.9977677,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.96866155,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.9999701,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.46054733,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.99980813,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00028713.JPEG,n01443537,1,1,0.48302338,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.37539157,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.9955777,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.925791,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00032235.JPEG,n01443537,1,1,0.92968345,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.9975419,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.99969065,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.9999794,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.9540308,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00038057.JPEG,n01443537,1,377,0.26466873,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.8963142,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.8888628,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00046915.JPEG,n01443537,1,1,0.28327566,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00046969.JPEG,n01443537,1,1,0.9996613,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.99999857,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.99974245,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.99970645,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00048864.JPEG,n01443537,1,989,0.77906364,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00049585.JPEG,n01443537,1,1,0.99948174,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.9991013,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00049712.JPEG,n01443537,1,395,0.25910053,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00002338.JPEG,n01484850,2,2,0.3849576,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.71783555,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00004311.JPEG,n01484850,2,3,0.43492478,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00004329.JPEG,n01484850,2,2,0.638128,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00006491.JPEG,n01484850,2,2,0.39627907,1,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00008848.JPEG,n01484850,2,4,0.5840345,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00014467.JPEG,n01484850,2,332,0.14184281,0,imagenet_c,zoom_blur,4,none
resnet152,ILSVRC2012_val_00015157.JPEG,n01484850,2,148,0.4506167,0,imagenet_c,zoom_blur,4,none
