model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnet152,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.2420606,1,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.9421449,1,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.68683666,1,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.9991178,1,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.98773754,1,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.99886924,1,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.9974663,1,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.9631958,1,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.93236744,1,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.99816835,1,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00010306.JPEG,n01440764,0,395,0.44180304,0,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.99944156,1,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.99921095,1,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.99854577,1,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9877627,1,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.9983296,1,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.99998116,1,imagenet_c,contrast,1,none
resnet152,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.99845016,1,imagenet_c,contrast,1,none
