model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnet152,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.77012974,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.9763532,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.6630164,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.99961156,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.9998714,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.99460596,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.9994106,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.9841008,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.964917,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.99775726,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00010306.JPEG,n01440764,0,395,0.20174071,0,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.99732,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.99936086,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.99729604,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.99590886,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.9998846,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.99999714,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.9997061,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.9998858,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.9287988,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.43766734,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.9818549,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.99992263,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.997529,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.99961346,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.99100775,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.9976458,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.8683859,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.9998765,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.9687391,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.9995944,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.5797289,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.17129734,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.99925715,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.9962691,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.41123095,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.7465778,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.9986615,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.9971227,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.9942111,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.99986625,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.99995923,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.999918,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.99999964,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.99975616,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.9977877,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.999972,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.99994934,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.9877845,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.9890427,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.7116438,0,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00000262.JPEG,n01443537,1,5,0.318028,0,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.99986243,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.99828255,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00002241.JPEG,n01443537,1,467,0.10024463,0,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.9863403,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.99572915,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.99683595,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.99862826,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.26535094,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.9803713,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00006007.JPEG,n01443537,1,1,0.5407671,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.99976605,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.99965715,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.99910945,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.98881274,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.92345774,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00012880.JPEG,n01443537,1,395,0.50563437,0,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.9887884,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.99728477,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.842327,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.9998692,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.90888226,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00020436.JPEG,n01443537,1,303,0.18043795,0,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.9998217,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.995391,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.9983323,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.9955562,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.9998621,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00028713.JPEG,n01443537,1,1,0.497485,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.9323977,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.9996966,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.97926575,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00032235.JPEG,n01443537,1,1,0.9744794,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.9996755,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.99885166,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.9992692,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.21461336,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00038057.JPEG,n01443537,1,301,0.454003,0,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.9586209,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.99988306,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00046915.JPEG,n01443537,1,1,0.41523618,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00046969.JPEG,n01443537,1,1,0.99878174,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.99973434,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.99974865,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.9969271,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00048864.JPEG,n01443537,1,1,0.37166616,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00049585.JPEG,n01443537,1,1,0.9968279,1,imagenet_c,elastic_transform,1,none
resnet152,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.9826166,1,imagenet_c,elastic_transform,1,none
