model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnet152,ILSVRC2012_val_00000293.JPEG,n01440764,0,4,0.17882551,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.9096238,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00003014.JPEG,n01440764,0,851,0.06233702,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00006697.JPEG,n01440764,0,955,0.05194233,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00007197.JPEG,n01440764,0,518,0.11977177,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00009111.JPEG,n01440764,0,310,0.085160114,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00009191.JPEG,n01440764,0,346,0.13635647,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00009346.JPEG,n01440764,0,298,0.6531459,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.43153867,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.33841714,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00010306.JPEG,n01440764,0,372,0.38485602,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.95974785,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00011993.JPEG,n01440764,0,381,0.17870457,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00012503.JPEG,n01440764,0,413,0.13004105,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.74087226,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.6737083,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.24176319,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.97340256,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.98577976,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00017995.JPEG,n01440764,0,834,0.16822521,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00018317.JPEG,n01440764,0,376,0.23625132,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00021740.JPEG,n01440764,0,150,0.45724386,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00023559.JPEG,n01440764,0,103,0.45977694,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.7377324,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.9968721,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00025129.JPEG,n01440764,0,362,0.17509739,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.7823285,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00026064.JPEG,n01440764,0,237,0.10226444,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00026397.JPEG,n01440764,0,490,0.20754164,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00028158.JPEG,n01440764,0,381,0.08918365,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.562874,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00030740.JPEG,n01440764,0,641,0.1484798,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00031094.JPEG,n01440764,0,372,0.097067095,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00031333.JPEG,n01440764,0,390,0.6194742,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.49092826,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00037375.JPEG,n01440764,0,469,0.35025105,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00037383.JPEG,n01440764,0,419,0.087315544,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.8822131,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.82700527,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00037861.JPEG,n01440764,0,621,0.08039135,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.98147166,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.5135872,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00040833.JPEG,n01440764,0,109,0.10731731,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00041939.JPEG,n01440764,0,570,0.080858506,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00045866.JPEG,n01440764,0,372,0.05905162,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.5112504,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00046252.JPEG,n01440764,0,390,0.469987,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00046499.JPEG,n01440764,0,490,0.07904522,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.47314376,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.4094142,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00000236.JPEG,n01443537,1,107,0.36312258,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00000262.JPEG,n01443537,1,973,0.42307237,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00000307.JPEG,n01443537,1,955,0.14916997,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.65449053,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00002241.JPEG,n01443537,1,794,0.014170059,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00002848.JPEG,n01443537,1,515,0.85443825,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00003150.JPEG,n01443537,1,562,0.07383163,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00003735.JPEG,n01443537,1,237,0.14248341,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00004655.JPEG,n01443537,1,980,0.17756091,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.20575535,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00005870.JPEG,n01443537,1,772,0.04186315,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.498109,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.056893505,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.8378498,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00010363.JPEG,n01443537,1,980,0.28253043,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00010509.JPEG,n01443537,1,327,0.10158899,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00011914.JPEG,n01443537,1,980,0.03821972,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00012880.JPEG,n01443537,1,913,0.15842724,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00013513.JPEG,n01443537,1,599,0.30192527,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00013623.JPEG,n01443537,1,973,0.28578508,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00016962.JPEG,n01443537,1,327,0.29137167,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00018075.JPEG,n01443537,1,973,0.24825853,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00019459.JPEG,n01443537,1,30,0.025471685,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00020436.JPEG,n01443537,1,4,0.2841132,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00020785.JPEG,n01443537,1,104,0.1927612,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.7442735,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00021905.JPEG,n01443537,1,539,0.22545017,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00022138.JPEG,n01443537,1,735,0.2815582,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00023869.JPEG,n01443537,1,107,0.052242894,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00028713.JPEG,n01443537,1,5,0.04488244,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00030060.JPEG,n01443537,1,983,0.17096952,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.3975089,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00031138.JPEG,n01443537,1,376,0.10385587,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00032235.JPEG,n01443537,1,379,0.18620151,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00032258.JPEG,n01443537,1,103,0.1552692,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00032675.JPEG,n01443537,1,107,0.21547791,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00034386.JPEG,n01443537,1,4,0.09686701,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00037846.JPEG,n01443537,1,457,0.049737006,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00038057.JPEG,n01443537,1,376,0.85544986,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00044095.JPEG,n01443537,1,607,0.19773793,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00045761.JPEG,n01443537,1,6,0.13765137,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00046915.JPEG,n01443537,1,980,0.103063025,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00046969.JPEG,n01443537,1,114,0.4795918,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00047396.JPEG,n01443537,1,103,0.30997625,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00047561.JPEG,n01443537,1,392,0.21643583,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.9514591,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00048864.JPEG,n01443537,1,641,0.5320363,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00049585.JPEG,n01443537,1,271,0.10510865,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00049617.JPEG,n01443537,1,392,0.26573747,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00049712.JPEG,n01443537,1,107,0.9035379,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00002338.JPEG,n01484850,2,34,0.4027337,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.5395927,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00004311.JPEG,n01484850,2,2,0.64872634,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00004329.JPEG,n01484850,2,2,0.9347866,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00006491.JPEG,n01484850,2,2,0.3470086,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00008848.JPEG,n01484850,2,4,0.32067987,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00014467.JPEG,n01484850,2,6,0.72942823,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00015157.JPEG,n01484850,2,359,0.34313914,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00015220.JPEG,n01484850,2,735,0.12797427,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00016168.JPEG,n01484850,2,2,0.6916727,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00016859.JPEG,n01484850,2,2,0.47534633,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00016988.JPEG,n01484850,2,2,0.69296616,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00017105.JPEG,n01484850,2,2,0.45541832,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00017194.JPEG,n01484850,2,2,0.8484147,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00019409.JPEG,n01484850,2,885,0.83785856,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00019435.JPEG,n01484850,2,2,0.9595451,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00020011.JPEG,n01484850,2,2,0.2874739,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00023185.JPEG,n01484850,2,2,0.42312023,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00024940.JPEG,n01484850,2,103,0.4553513,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00025900.JPEG,n01484850,2,2,0.37021387,1,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00027063.JPEG,n01484850,2,490,0.049005195,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00027419.JPEG,n01484850,2,109,0.39300954,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00027514.JPEG,n01484850,2,6,0.42703095,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00028028.JPEG,n01484850,2,107,0.24276903,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00029481.JPEG,n01484850,2,4,0.41564667,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00030127.JPEG,n01484850,2,395,0.5860601,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00031466.JPEG,n01484850,2,5,0.56596625,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00031720.JPEG,n01484850,2,735,0.29820165,0,imagenet_c,shot_noise,4,none
resnet152,ILSVRC2012_val_00031808.JPEG,n01484850,2,2,0.33647007,1,imagenet_c,shot_noise,4,none
