model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnet18,ILSVRC2012_val_00000293.JPEG,n01440764,0,103,0.33209226,0,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00002138.JPEG,n01440764,0,413,0.040879287,0,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00003014.JPEG,n01440764,0,444,0.17165385,0,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.796636,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.87113595,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00009111.JPEG,n01440764,0,677,0.046207424,0,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.9557217,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.99263775,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.99971765,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9996916,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00010306.JPEG,n01440764,0,135,0.1865778,0,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.9986156,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.9918458,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8787851,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9953244,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.74291867,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.99604815,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.99613696,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.99964213,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00017995.JPEG,n01440764,0,906,0.057429288,0,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.2909806,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00021740.JPEG,n01440764,0,145,0.057390112,0,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.9848828,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.99812967,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.99988997,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.84659016,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.91772807,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.2627068,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.9382313,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00028158.JPEG,n01440764,0,103,0.072219536,0,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.96673286,1,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00030740.JPEG,n01440764,0,63,0.17386577,0,imagenet_c,defocus_blur,2,none
resnet18,ILSVRC2012_val_00031094.JPEG,n01440764,0,214,0.10206317,0,imagenet_c,defocus_blur,2,none
