model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnet50,ILSVRC2012_val_00000293.JPEG,n01440764,0,885,0.08957607,0,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00002138.JPEG,n01440764,0,465,0.102038994,0,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00003014.JPEG,n01440764,0,391,0.04757999,0,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.61426985,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.4731072,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.18635629,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.41195685,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.34470832,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.3930624,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.5908921,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00010306.JPEG,n01440764,0,124,0.02217901,0,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.4420919,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.32340288,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.4759042,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.4858546,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.534353,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.58544225,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.53166884,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.6727483,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.53565973,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.66833615,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.4728731,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.4567838,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.37787762,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.5341543,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.55643654,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.35730755,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00026064.JPEG,n01440764,0,395,0.08196002,0,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.5728176,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00028158.JPEG,n01440764,0,394,0.15256938,0,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.8013591,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.713045,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00031094.JPEG,n01440764,0,669,0.065853305,0,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.38570604,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.65168095,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.3793468,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00037383.JPEG,n01440764,0,43,0.10414105,0,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.4990513,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00037834.JPEG,n01440764,0,5,0.24034192,0,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.5517449,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.42231566,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.51655245,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.48482415,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.14073989,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.6172235,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.39046937,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00046252.JPEG,n01440764,0,149,0.24523823,0,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.5587829,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.38061532,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.5860209,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00000236.JPEG,n01443537,1,111,0.11988244,0,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00000262.JPEG,n01443537,1,5,0.13792713,0,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.7651682,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.5229064,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00002241.JPEG,n01443537,1,446,0.04166703,0,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.54250455,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00003150.JPEG,n01443537,1,395,0.0838431,0,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00003735.JPEG,n01443537,1,78,0.3356506,0,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00004655.JPEG,n01443537,1,107,0.038585156,0,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.065989606,1,imagenet_c,contrast,4,none
resnet50,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.1110816,1,imagenet_c,contrast,4,none
