model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnet50,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.29870725,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.3135818,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.12845902,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.41392103,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.5248388,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.40745473,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.5911196,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.5146635,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.5103001,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.62361366,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.026054045,0,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.4393239,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.48785022,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.56934243,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.4075214,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.54588866,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.23086868,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.35843167,1,imagenet_c,elastic_transform,1,none
resnet50,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.42089868,1,imagenet_c,elastic_transform,1,none
