model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnet50,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.24195269,0,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.38789997,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.10823047,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.7652366,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.4439614,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.15323044,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.45055938,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.42334947,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.4272938,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.5837932,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00010306.JPEG,n01440764,0,676,0.03246213,0,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.4917479,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.5282077,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.5521333,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.3337089,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.5130959,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.48874414,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.45724207,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.6608659,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.29213476,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.6724424,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.10596463,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.70078135,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.58374673,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.53380644,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.5540744,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.31183302,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.052505363,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.3657465,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00028158.JPEG,n01440764,0,232,0.030925341,0,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.46683922,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.29750255,1,imagenet_c,jpeg_compression,5,none
