model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnet50,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.22466494,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.1781974,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.078566596,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.6396134,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.6018443,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.13680343,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.51167464,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.40417737,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.5350434,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.53286684,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00010306.JPEG,n01440764,0,356,0.13044664,0,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.4982628,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.4064251,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.59477764,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.5852258,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.56192535,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.29267734,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.32775024,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.5678344,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.3305463,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.18553908,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.3417419,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.6284343,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.369481,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.57550913,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.48114318,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.5097293,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.12107035,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.32663798,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00028158.JPEG,n01440764,0,904,0.06926466,0,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.34296575,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.32692787,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00031094.JPEG,n01440764,0,235,0.080157466,0,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.5234582,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.48844415,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.21426626,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00037383.JPEG,n01440764,0,29,0.04462085,0,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.5526042,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.45469955,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.44504416,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.56781137,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.30981,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.6050692,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.7244815,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.61811084,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.6157827,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.49179706,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.5084731,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.5304373,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.6678575,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00000236.JPEG,n01443537,1,117,0.057834722,0,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.34693718,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.5069211,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.5350566,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00002241.JPEG,n01443537,1,743,0.02948815,0,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.19153437,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.43473354,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.3592113,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.49371412,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.070831425,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00005870.JPEG,n01443537,1,117,0.094453506,0,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00006007.JPEG,n01443537,1,29,0.3240532,0,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.44843107,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.648764,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.488679,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.60226893,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.7809668,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00012880.JPEG,n01443537,1,975,0.23328818,0,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.33745167,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00013623.JPEG,n01443537,1,885,0.29242617,0,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.14816561,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.60869974,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.39157492,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00020436.JPEG,n01443537,1,5,0.059122257,0,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.44538674,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.48500058,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.31664267,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.43895075,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.47726753,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00028713.JPEG,n01443537,1,1,0.28142717,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.049403347,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.34399784,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.5764681,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00032235.JPEG,n01443537,1,1,0.2885923,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.37389743,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.53545606,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.5144124,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00037846.JPEG,n01443537,1,794,0.055746745,0,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00038057.JPEG,n01443537,1,301,0.09923137,0,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.36800444,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.36334333,1,imagenet_c,pixelate,4,none
resnet50,ILSVRC2012_val_00046915.JPEG,n01443537,1,540,0.041457735,0,imagenet_c,pixelate,4,none
