model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnet50,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.073034704,0,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.38807544,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.09751727,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.7387443,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.5782994,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.1334326,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.49477923,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.4339102,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.47169808,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.68843985,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00010306.JPEG,n01440764,0,380,0.017811172,0,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.46783182,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.41612235,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.47238356,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.21664134,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.45428535,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.5485668,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.4605183,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.6368198,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.3328344,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.6415775,1,imagenet_c,jpeg_compression,5,none
resnet50,ILSVRC2012_val_00021740.JPEG,n01440764,0,490,0.07917214,0,imagenet_c,jpeg_compression,5,none
