model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnet50,ILSVRC2012_val_00000293.JPEG,n01440764,0,103,0.044392377,0,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00002138.JPEG,n01440764,0,391,0.059272297,0,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00003014.JPEG,n01440764,0,346,0.0470228,0,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.6060648,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.7150724,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.06534376,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.374898,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.2944878,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.32893622,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.56004274,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.1278793,0,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.4794685,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.38862592,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.56593317,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.4417082,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.55120325,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00017472.JPEG,n01440764,0,608,0.4738425,0,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.5309534,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.5692222,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.30247918,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.55917245,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.21680768,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.5763932,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.5471257,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.47640523,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.6120204,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.3943061,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.16306928,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.6289035,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00028158.JPEG,n01440764,0,6,0.068182476,0,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.6325253,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.30094767,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00031094.JPEG,n01440764,0,456,0.1322038,0,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.41797918,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.5824001,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00037375.JPEG,n01440764,0,389,0.26993358,0,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00037383.JPEG,n01440764,0,389,0.070130736,0,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00037596.JPEG,n01440764,0,391,0.2361913,0,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.40643805,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.555797,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.33162963,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.55970174,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.5381168,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.5184698,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.48876414,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.45082912,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.75373024,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.35090515,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.3548543,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.47613665,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00000236.JPEG,n01443537,1,107,0.2545101,0,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.15355127,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.54899234,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.6230608,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00002241.JPEG,n01443537,1,739,0.040713005,0,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.39804587,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.15988839,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.15031953,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.32396114,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.40881026,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.12396221,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.19548684,0,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.561887,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.62048066,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.07871381,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.22609235,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.25405553,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00012880.JPEG,n01443537,1,403,0.10528018,0,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.47749242,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.09115142,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.7238916,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.58956146,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.64743257,1,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00020436.JPEG,n01443537,1,4,0.13911745,0,imagenet_c,gaussian_noise,2,none
resnet50,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.50649107,1,imagenet_c,gaussian_noise,2,none
