model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnet50,ILSVRC2012_val_00000293.JPEG,n01440764,0,111,0.17013519,0,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00002138.JPEG,n01440764,0,655,0.018363995,0,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00003014.JPEG,n01440764,0,233,0.03845088,0,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.035820395,1,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00007197.JPEG,n01440764,0,567,0.24243505,0,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00009111.JPEG,n01440764,0,75,0.054171667,0,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00009191.JPEG,n01440764,0,394,0.050176486,0,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00009346.JPEG,n01440764,0,331,0.055723354,0,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00009379.JPEG,n01440764,0,394,0.056389205,0,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00009396.JPEG,n01440764,0,394,0.041327413,0,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00010306.JPEG,n01440764,0,103,0.06356323,0,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.470595,1,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00011993.JPEG,n01440764,0,297,0.019001607,0,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00012503.JPEG,n01440764,0,394,0.13422158,0,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00013716.JPEG,n01440764,0,394,0.07216632,0,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00016018.JPEG,n01440764,0,103,0.09985955,0,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00017472.JPEG,n01440764,0,6,0.030678898,0,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.13182445,1,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00017700.JPEG,n01440764,0,394,0.055796865,0,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.08102532,1,imagenet_c,impulse_noise,4,none
resnet50,ILSVRC2012_val_00018317.JPEG,n01440764,0,280,0.059063256,0,imagenet_c,impulse_noise,4,none
