model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnet50,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.5028227,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.39267612,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00003014.JPEG,n01440764,0,235,0.24746318,0,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.20484118,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.6122267,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.07827344,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.3032616,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.46051088,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.4765844,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00009396.JPEG,n01440764,0,380,0.11787563,0,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00010306.JPEG,n01440764,0,356,0.1208685,0,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.5300825,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.51832575,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.26310113,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.3658257,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.773091,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.37523234,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.4323528,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.76568407,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.20081106,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00018317.JPEG,n01440764,0,381,0.044132683,0,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00021740.JPEG,n01440764,0,361,0.16652353,0,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.62247676,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.57459664,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.46977866,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.42767692,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.27629527,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00026064.JPEG,n01440764,0,112,0.07817609,0,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.51340973,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00028158.JPEG,n01440764,0,235,0.03798926,0,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.23008683,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00030740.JPEG,n01440764,0,361,0.09471066,0,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00031094.JPEG,n01440764,0,235,0.19979262,0,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.3793186,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.5201096,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.1413768,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00037383.JPEG,n01440764,0,993,0.17069548,0,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.61956245,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.6640419,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.34592843,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.5337913,1,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00040358.JPEG,n01440764,0,382,0.15361176,0,imagenet_c,pixelate,5,none
resnet50,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.5110206,1,imagenet_c,pixelate,5,none
