model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnext101_64x4d,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.304321,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.39512023,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.6926297,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.45177612,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.48893642,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.39872175,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.49718532,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.44224837,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.46567547,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.4552262,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.31569842,0,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.42010236,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.48040652,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.44288108,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.40892678,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.46760833,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.5436216,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.5007195,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.5101255,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.41108236,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.42475024,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.5826362,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.47451827,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.40155008,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.52116346,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.5276761,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.34589434,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.45102555,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.48492685,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.3255571,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.66708815,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.67257106,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.42253563,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.5140403,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.46166033,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.2352292,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.44435066,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.5091311,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.36428836,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.52388304,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.48356417,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.4421069,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.42457157,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.7149128,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.4858994,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.39785194,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.35553455,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.49378654,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.4541584,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.3549208,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00000236.JPEG,n01443537,1,1,0.18651985,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.4020202,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.61353034,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.5210492,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.20316724,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.4174464,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.50111103,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.5032506,1,imagenet,none,0,none
resnext101_64x4d,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.4611281,1,imagenet,none,0,none
