model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnext101_64x4d,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.1343526,0,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.37779903,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.21029861,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.49724695,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.46217045,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.3930315,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.46906006,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.55701154,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.5322967,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.5481132,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.30885583,0,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.53362495,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.5113738,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.5168801,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.46639264,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.42898703,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.43186224,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.5079222,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.55922663,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.4836072,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.50618184,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.3509575,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.3540404,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.4714,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.5452313,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.47805992,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.36996746,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.4238901,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.49785632,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.40573043,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.42447975,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.6698806,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.29607743,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.39381397,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.3676393,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00037375.JPEG,n01440764,0,389,0.3301458,0,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.37257236,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.38995218,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.36290303,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.6166053,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.42867368,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.42910042,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.44044334,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.46840918,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.40224177,1,imagenet_c,defocus_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.5485737,1,imagenet_c,defocus_blur,1,none
