model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnext101_64x4d,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.11962688,0,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.19131558,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.09952569,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.45462787,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.44683164,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.30541188,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.46490467,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.5127451,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.4675895,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.4920773,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.25792718,0,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.4746356,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.5495083,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.44273874,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.4061682,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.4080683,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.42544997,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.5113246,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.54054284,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.46048373,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.44812703,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.38482216,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.40635148,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.4523074,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.5850734,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.5554442,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.40598664,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.4209333,1,imagenet_c,glass_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.45473137,1,imagenet_c,glass_blur,1,none
