model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnext101_64x4d,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.1454918,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.33377093,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.16990152,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.47888854,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.47119007,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.58725417,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.50364184,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.51367086,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.4788068,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.49654797,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.4999581,0,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.50880545,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.56807274,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.45940375,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.51690394,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.3452511,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.33682773,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.5136654,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.5209916,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.5418379,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.4762112,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.44583786,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.3192788,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.44481477,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.55596936,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.39292037,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.38874537,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.4377974,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.48395452,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.45681345,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.47359905,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.46284238,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.25094306,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.4579937,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.35864982,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.41657126,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.39853683,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.3874237,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.3413115,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.53755236,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.39628944,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.42432782,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.4879295,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.5939349,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.46378195,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.58754206,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.39778236,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.50780326,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.39093244,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.4840024,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.115994856,0,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.26981482,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.6886024,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.6637479,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.15152994,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.4112958,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.34499988,1,imagenet_c,motion_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.5174837,1,imagenet_c,motion_blur,1,none
