model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnext101_64x4d,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.10513668,0,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.18463956,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.16742244,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.480687,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.41769135,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.11382113,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.53896254,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.47090948,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.48571226,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.47289073,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.20052628,0,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.50455385,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.5292021,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.43991247,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.5557862,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.4513308,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.3934373,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.48177037,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.50085473,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.5686178,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.20444493,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.47276345,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.3574159,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.40048322,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.51481956,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.50977755,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.33432204,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.5423476,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.44755372,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.39695254,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.14843068,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.6677538,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.1454817,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.47033668,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.34399548,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.35056058,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00037383.JPEG,n01440764,0,358,0.15619063,0,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.32629904,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.3792476,1,imagenet_c,zoom_blur,1,none
resnext101_64x4d,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.5626713,1,imagenet_c,zoom_blur,1,none
