model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnext101_64x4d,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.1415031,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00002138.JPEG,n01440764,0,391,0.18033817,0,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.3404999,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.46524125,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.4530923,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.40248838,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.49361792,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.47843006,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.45214143,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.54008937,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.22341491,0,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.42151505,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.52399886,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.48700464,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.4330774,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.4364454,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.31737474,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.46059266,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.58227575,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.49658206,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.38106963,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.4507605,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.42385152,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.3870866,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.5215794,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.49329874,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.29734007,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.33661696,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.42510948,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.24035294,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.47397977,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.49554884,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.2944181,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.3110061,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.49270615,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.42530724,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.2557143,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.35365745,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.20321997,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.5223034,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.31773648,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.38009053,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.40824342,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.5431577,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.39609674,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.5202044,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.5210145,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.47740883,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.32229605,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.37462068,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00000236.JPEG,n01443537,1,29,0.08578217,0,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.23246172,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.60973316,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.60822785,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00002241.JPEG,n01443537,1,124,0.1269317,0,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.39669663,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.38148677,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.56867486,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.3721662,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.3924625,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.42691073,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.2854545,0,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.36309725,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.5164307,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.4146343,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.4571832,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.48926505,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00012880.JPEG,n01443537,1,657,0.30327725,0,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.37705812,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.5857389,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.4366631,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.60026395,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.5418358,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00020436.JPEG,n01443537,1,6,0.28637004,0,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.5728319,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.46671218,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.5106082,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.3542949,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.49945772,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00028713.JPEG,n01443537,1,1,0.719366,1,imagenet_c,gaussian_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00030060.JPEG,n01443537,1,794,0.072932005,0,imagenet_c,gaussian_noise,1,none
