model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnext101_64x4d,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.084127754,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00002138.JPEG,n01440764,0,391,0.14857532,0,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.10824659,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.4262609,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.35359183,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.47093162,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.44201037,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.411805,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.46123013,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.5301406,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.09254316,0,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.5130291,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.565211,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.456199,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.3680284,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.32770878,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.29448017,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.46386197,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.57518464,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.44291687,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.41129923,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.6306134,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.37764555,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.30879,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.56318593,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.45335528,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.32883832,1,imagenet_c,impulse_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.4120598,1,imagenet_c,impulse_noise,1,none
