model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
resnext101_64x4d,ILSVRC2012_val_00000293.JPEG,n01440764,0,103,0.11217418,0,imagenet_c,shot_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00002138.JPEG,n01440764,0,391,0.22672957,0,imagenet_c,shot_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.364448,1,imagenet_c,shot_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.46500182,1,imagenet_c,shot_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.34942558,1,imagenet_c,shot_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.5075426,1,imagenet_c,shot_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.46035874,1,imagenet_c,shot_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.4549666,1,imagenet_c,shot_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.43261695,1,imagenet_c,shot_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.50286335,1,imagenet_c,shot_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00010306.JPEG,n01440764,0,395,0.1886783,0,imagenet_c,shot_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.43696725,1,imagenet_c,shot_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.5625189,1,imagenet_c,shot_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.4368315,1,imagenet_c,shot_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.41786674,1,imagenet_c,shot_noise,1,none
resnext101_64x4d,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.3870945,1,imagenet_c,shot_noise,1,none
