model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
swin_b,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.477798,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.89682186,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.33282617,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.88103795,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8817995,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.87152714,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.872153,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.87613434,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.89305854,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8929257,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.94403434,0,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.87941796,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.88938105,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.9085355,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.86983997,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.87508893,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9032632,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8838691,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.89155644,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.90426475,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.82496446,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.91648865,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.9065495,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.8782623,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8888623,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.89349496,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.8944833,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.8134668,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.87479913,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00028158.JPEG,n01440764,0,389,0.36492053,0,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.8351688,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.9195978,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.6898351,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.8294052,1,imagenet_c,defocus_blur,2,none
swin_b,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.8962819,1,imagenet_c,defocus_blur,2,none
