model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
swin_b,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.26822942,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.45162067,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00003014.JPEG,n01440764,0,693,0.36596796,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.37336648,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00007197.JPEG,n01440764,0,463,0.330427,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00009111.JPEG,n01440764,0,114,0.56265885,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8493013,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.80494857,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.9079527,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.85892344,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00010306.JPEG,n01440764,0,895,0.20145254,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00011233.JPEG,n01440764,0,699,0.19855697,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.84047484,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.93605536,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8183601,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.84899294,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00017472.JPEG,n01440764,0,356,0.08789612,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00017699.JPEG,n01440764,0,855,0.29308313,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.88362813,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00017995.JPEG,n01440764,0,552,0.32438314,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00018317.JPEG,n01440764,0,880,0.13934185,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00021740.JPEG,n01440764,0,384,0.7876583,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.66102654,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.5335525,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8422291,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.9437784,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00025527.JPEG,n01440764,0,103,0.74327976,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00026064.JPEG,n01440764,0,329,0.8645755,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00026397.JPEG,n01440764,0,701,0.28171813,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00028158.JPEG,n01440764,0,382,0.05401474,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00029930.JPEG,n01440764,0,356,0.2372869,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00030740.JPEG,n01440764,0,450,0.16721201,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00031094.JPEG,n01440764,0,621,0.13156104,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00031333.JPEG,n01440764,0,356,0.24832126,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00034654.JPEG,n01440764,0,304,0.36401817,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00037375.JPEG,n01440764,0,812,0.64099735,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00037383.JPEG,n01440764,0,934,0.40176895,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.3025711,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.63426906,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.87159014,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.88935745,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00040358.JPEG,n01440764,0,188,0.20358199,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.8010277,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00041939.JPEG,n01440764,0,880,0.9397511,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.8169523,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.762804,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00046252.JPEG,n01440764,0,361,0.18962663,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.88655245,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.9128777,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.7102411,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.38477072,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00000262.JPEG,n01443537,1,107,0.119447,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.8965713,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.89714605,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00002241.JPEG,n01443537,1,794,0.71643275,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00002848.JPEG,n01443537,1,701,0.24090281,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.34208426,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00003735.JPEG,n01443537,1,701,0.7219775,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.79510444,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00004677.JPEG,n01443537,1,506,0.13431671,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00005870.JPEG,n01443537,1,712,0.33382902,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00006007.JPEG,n01443537,1,629,0.864739,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00006216.JPEG,n01443537,1,701,0.25992826,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.89206624,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00010363.JPEG,n01443537,1,725,0.20851764,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.5596149,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00011914.JPEG,n01443537,1,973,0.39438856,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00012880.JPEG,n01443537,1,417,0.4539287,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.49971595,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00013623.JPEG,n01443537,1,701,0.825447,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00016962.JPEG,n01443537,1,417,0.1693313,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.7968703,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.7260948,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00020436.JPEG,n01443537,1,895,0.72309506,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00020785.JPEG,n01443537,1,701,0.4737608,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.75175244,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.9214009,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.22052155,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.8833732,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00028713.JPEG,n01443537,1,973,0.3101123,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00030060.JPEG,n01443537,1,653,0.14756249,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.6597832,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00031138.JPEG,n01443537,1,417,0.21897255,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00032235.JPEG,n01443537,1,701,0.5482266,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.37265673,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00032675.JPEG,n01443537,1,701,0.38564482,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.87421477,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00037846.JPEG,n01443537,1,794,0.5766309,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00038057.JPEG,n01443537,1,310,0.6029901,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.92351985,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.20987184,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00046915.JPEG,n01443537,1,1,0.8078209,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00046969.JPEG,n01443537,1,895,0.53833616,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.91329545,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.8250375,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.824778,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00048864.JPEG,n01443537,1,989,0.22529154,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00049585.JPEG,n01443537,1,309,0.1990548,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.29056114,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00049712.JPEG,n01443537,1,973,0.15710105,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00002338.JPEG,n01484850,2,2,0.37656662,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.68008655,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00004311.JPEG,n01484850,2,103,0.8586652,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00004329.JPEG,n01484850,2,2,0.8149639,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00006491.JPEG,n01484850,2,3,0.44119066,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00008848.JPEG,n01484850,2,147,0.40189645,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00014467.JPEG,n01484850,2,2,0.8849068,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00015157.JPEG,n01484850,2,148,0.14434807,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00015220.JPEG,n01484850,2,2,0.7449251,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00016168.JPEG,n01484850,2,701,0.16256133,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00016859.JPEG,n01484850,2,2,0.8490576,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00016988.JPEG,n01484850,2,2,0.8509887,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00017105.JPEG,n01484850,2,796,0.7682146,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00017194.JPEG,n01484850,2,2,0.696166,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00019409.JPEG,n01484850,2,147,0.31392458,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00019435.JPEG,n01484850,2,2,0.89872175,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00020011.JPEG,n01484850,2,2,0.8706833,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00023185.JPEG,n01484850,2,895,0.4654185,0,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00024940.JPEG,n01484850,2,2,0.82127595,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00025900.JPEG,n01484850,2,2,0.77224547,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00027063.JPEG,n01484850,2,2,0.6338561,1,imagenet_c,glass_blur,3,none
swin_b,ILSVRC2012_val_00027419.JPEG,n01484850,2,2,0.8688881,1,imagenet_c,glass_blur,3,none
