model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
swin_b,ILSVRC2012_val_00000293.JPEG,n01440764,0,843,0.17190559,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00002138.JPEG,n01440764,0,103,0.6687629,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00003014.JPEG,n01440764,0,444,0.631456,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.42305267,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.7012855,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00009111.JPEG,n01440764,0,103,0.107492246,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.5245497,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.4486096,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8670849,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8628843,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00010306.JPEG,n01440764,0,889,0.28990477,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.82512355,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8200869,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8492833,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.7205088,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8257992,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8407976,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.8044875,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.84419364,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00017995.JPEG,n01440764,0,399,0.75578696,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00018317.JPEG,n01440764,0,671,0.8475431,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00021740.JPEG,n01440764,0,545,0.25850222,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.5865771,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9080454,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.82210815,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.85481805,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.7564479,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00026064.JPEG,n01440764,0,998,0.24781488,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.52688223,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00028158.JPEG,n01440764,0,381,0.21601155,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.6708282,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00030740.JPEG,n01440764,0,573,0.31150857,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00031094.JPEG,n01440764,0,671,0.61720484,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00031333.JPEG,n01440764,0,843,0.2461893,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.8427803,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00037375.JPEG,n01440764,0,103,0.11190416,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00037383.JPEG,n01440764,0,382,0.11832219,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.8193908,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.82254714,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.6986785,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.80664486,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.41968217,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.82307756,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00041939.JPEG,n01440764,0,621,0.57944405,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.67425525,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00045880.JPEG,n01440764,0,671,0.4802751,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.82571656,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.7706552,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.857613,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.719972,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00000236.JPEG,n01443537,1,644,0.2973542,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00000262.JPEG,n01443537,1,5,0.2478981,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.9105708,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.90862817,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00002241.JPEG,n01443537,1,476,0.6607177,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00002848.JPEG,n01443537,1,862,0.61766195,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.91188145,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.6736208,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.87508595,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00004677.JPEG,n01443537,1,456,0.23899953,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.71959215,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00006007.JPEG,n01443537,1,1,0.37606728,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.84875053,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.9342821,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00010363.JPEG,n01443537,1,966,0.22031662,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.8975489,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.46899748,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00012880.JPEG,n01443537,1,417,0.24019243,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.8883271,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.7842495,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.42241326,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.91512865,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.86472684,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00020436.JPEG,n01443537,1,6,0.20294818,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.87800527,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.8850044,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00021905.JPEG,n01443537,1,843,0.5292764,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.9077679,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.89650315,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00028713.JPEG,n01443537,1,396,0.18341205,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00030060.JPEG,n01443537,1,476,0.47811425,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.8554254,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.85542,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00032235.JPEG,n01443537,1,731,0.24198899,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.8957391,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.8803966,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.85814136,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.6229288,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00038057.JPEG,n01443537,1,937,0.66584253,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.90559024,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.89844084,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00046915.JPEG,n01443537,1,1,0.42752686,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00046969.JPEG,n01443537,1,1,0.7428714,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.91294414,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.8330172,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.9101027,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00048864.JPEG,n01443537,1,989,0.11461338,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00049585.JPEG,n01443537,1,1,0.40662974,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.90571,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00049712.JPEG,n01443537,1,983,0.18492092,0,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00002338.JPEG,n01484850,2,2,0.61014587,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.53730834,1,imagenet_c,motion_blur,5,none
swin_b,ILSVRC2012_val_00004311.JPEG,n01484850,2,2,0.8011309,1,imagenet_c,motion_blur,5,none
