model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
swin_b,ILSVRC2012_val_00000293.JPEG,n01440764,0,94,0.1638012,0,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00002138.JPEG,n01440764,0,352,0.618606,0,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.3488123,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8393136,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.7055684,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00009111.JPEG,n01440764,0,456,0.27502188,0,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8623931,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.7989887,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8887353,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.88445675,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.40056244,0,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8114373,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.7385573,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.897099,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8780521,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8343687,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8665567,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.80881315,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8768311,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.90924567,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00018317.JPEG,n01440764,0,671,0.3256128,0,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.5016033,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.9195473,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.88793725,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8632967,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.89208645,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.8698564,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.5034134,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.86337805,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00028158.JPEG,n01440764,0,879,0.41778305,0,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.769178,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00030740.JPEG,n01440764,0,768,0.2088863,0,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00031094.JPEG,n01440764,0,456,0.5090233,0,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.8851527,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.9178106,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00037375.JPEG,n01440764,0,542,0.19653906,0,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00037383.JPEG,n01440764,0,34,0.22275582,0,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.86017895,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.8643101,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.8680449,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.8568125,1,imagenet_c,zoom_blur,3,none
swin_b,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.8824372,1,imagenet_c,zoom_blur,3,none
