model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
swin_b,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.3102751,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.36689922,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00003014.JPEG,n01440764,0,346,0.09311923,0,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.39371505,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.65675557,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.3528094,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.78488153,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.21382745,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.6210555,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.72553617,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00010306.JPEG,n01440764,0,395,0.18039377,0,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.15342306,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.09510083,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.30696705,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.14742237,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.26480433,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.82689106,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.80437636,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.7767639,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.8905034,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.24454752,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.7707825,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.2655146,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.83773327,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.4681357,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.47735092,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.8582055,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.5695458,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.4468683,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00028158.JPEG,n01440764,0,394,0.25476903,0,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.6022923,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.89557743,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.3273182,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.31008637,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.8736617,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.1727256,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.2550651,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.5389323,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.32158586,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.38527143,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.46864298,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.5381109,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.63286406,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.31386694,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.11413642,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.36168468,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.2308288,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.23056664,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.40727884,1,imagenet_c,contrast,4,none
swin_b,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.8070229,1,imagenet_c,contrast,4,none
