model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
swin_b,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.8754673,0,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00002138.JPEG,n01440764,0,394,0.8520915,0,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00003014.JPEG,n01440764,0,469,0.15570737,0,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.84043074,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8896023,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00009111.JPEG,n01440764,0,329,0.47570336,0,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8259241,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.8642944,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8546698,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.27036667,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00010306.JPEG,n01440764,0,448,0.32335573,0,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8688873,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.85351896,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8980942,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.6863825,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.6674637,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9023227,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.88775885,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8835651,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.8507078,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.35595202,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00021740.JPEG,n01440764,0,744,0.1610505,0,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.95226014,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9185195,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.85113966,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00025129.JPEG,n01440764,0,394,0.3565035,0,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.8386637,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00026064.JPEG,n01440764,0,116,0.35913077,0,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.85606223,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00028158.JPEG,n01440764,0,109,0.32612363,0,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.7786157,1,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00030740.JPEG,n01440764,0,601,0.5699597,0,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00031094.JPEG,n01440764,0,975,0.29809874,0,imagenet_c,elastic_transform,5,none
swin_b,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.2916814,1,imagenet_c,elastic_transform,5,none
