model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
swin_b,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.36371818,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.89405495,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.8239345,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.88129765,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.86177886,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.9205867,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8541545,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.85257083,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8404861,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8796192,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00010306.JPEG,n01440764,0,129,0.638917,0,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.8753325,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8415608,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.89819515,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.85583293,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.86766386,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9018526,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.87570375,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.8561046,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.8797401,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.87317383,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.84825444,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.8935787,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.86986524,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8400549,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.8724767,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.8884207,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.8411266,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.85802954,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.71621025,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.87521696,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.8856038,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.8957844,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.8729781,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.9003933,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.6274719,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.9498376,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.9008563,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.88555056,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.8378853,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.8960798,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.8799266,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.8495925,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.82465535,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.8488803,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.8772226,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.81052417,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.8744157,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.8779064,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.804866,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.81440204,0,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.73093504,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.8829001,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.9124466,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.19561125,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.8709757,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.64683294,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.87844455,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.8260958,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.80105615,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.71944463,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00006007.JPEG,n01443537,1,629,0.8228453,0,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.8730025,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.8626048,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.61253995,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.86812574,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00011914.JPEG,n01443537,1,335,0.17880504,0,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00012880.JPEG,n01443537,1,403,0.5298907,0,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.49983984,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.88644445,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.9170366,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.89329326,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.77841586,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00020436.JPEG,n01443537,1,1,0.40743935,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.85767263,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.8904979,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.9057692,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.87387085,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.88272,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00028713.JPEG,n01443537,1,396,0.64275813,0,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.65849876,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.8240811,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.5210906,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00032235.JPEG,n01443537,1,1,0.44887567,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.9167036,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.8541951,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.8661179,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.6976949,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00038057.JPEG,n01443537,1,301,0.34622797,0,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.85604453,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.82527494,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00046915.JPEG,n01443537,1,1,0.6946654,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00046969.JPEG,n01443537,1,1,0.81686616,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.9023261,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.8215882,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.866771,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00048864.JPEG,n01443537,1,1,0.40833616,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00049585.JPEG,n01443537,1,1,0.74698603,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.8690632,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00049712.JPEG,n01443537,1,107,0.8708959,0,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00002338.JPEG,n01484850,2,2,0.6897121,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.8226767,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00004311.JPEG,n01484850,2,2,0.7992145,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00004329.JPEG,n01484850,2,2,0.79794043,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00006491.JPEG,n01484850,2,3,0.67852134,0,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00008848.JPEG,n01484850,2,2,0.72292465,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00014467.JPEG,n01484850,2,2,0.8804564,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00015157.JPEG,n01484850,2,147,0.40587413,0,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00015220.JPEG,n01484850,2,2,0.5653508,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00016168.JPEG,n01484850,2,2,0.83546674,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00016859.JPEG,n01484850,2,2,0.8789893,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00016988.JPEG,n01484850,2,2,0.86363137,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00017105.JPEG,n01484850,2,2,0.8656171,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00017194.JPEG,n01484850,2,2,0.4563115,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00019409.JPEG,n01484850,2,2,0.8651701,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00019435.JPEG,n01484850,2,2,0.88706064,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00020011.JPEG,n01484850,2,2,0.56476134,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00023185.JPEG,n01484850,2,2,0.4462205,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00024940.JPEG,n01484850,2,3,0.49467823,0,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00025900.JPEG,n01484850,2,3,0.8299168,0,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00027063.JPEG,n01484850,2,2,0.702778,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00027419.JPEG,n01484850,2,2,0.90674746,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00027514.JPEG,n01484850,2,3,0.46863657,0,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00028028.JPEG,n01484850,2,2,0.90556246,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00029481.JPEG,n01484850,2,2,0.765474,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00030127.JPEG,n01484850,2,2,0.8699165,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00031466.JPEG,n01484850,2,2,0.8910383,1,imagenet_c,gaussian_noise,2,none
swin_b,ILSVRC2012_val_00031720.JPEG,n01484850,2,2,0.84216636,1,imagenet_c,gaussian_noise,2,none
